"site_id"|"site_name"|"entity_id"|"entity_name"|"sample_id"|"age_bp"|"age_uncert_pos"|"age_uncert_neg"|"d18o_permille"|"d13c_permille"
144|"Botuverá cave"|312|"BT-2"|177432|"70.034182"|"15.70276264"|"15.73483609"|"-2.65"|"-6.28"
144|"Botuverá cave"|311|"BTV21a"|177200|"126.5035684"|"965.6335682"|"1073.63158"|"-3.73"|"-6.99"
144|"Botuverá cave"|311|"BTV21a"|177201|"188.3456871"|"920.7704752"|"1023.543855"|"-3.879"|"-7.693"
144|"Botuverá cave"|312|"BT-2"|177433|"190.068364"|"31.40552528"|"31.46967218"|"-2.52"|"-6.2"
144|"Botuverá cave"|311|"BTV21a"|177202|"248.8028881"|"873.1431235"|"972.7482937"|"-3.65"|"-5.82"
144|"Botuverá cave"|312|"BT-2"|177434|"310.102546"|"47.10828793"|"47.20450827"|"-2.62"|"-6.42"
144|"Botuverá cave"|311|"BTV21a"|177203|"311.9037627"|"824.2488406"|"921.1483772"|"-3.72"|"-6.7"
144|"Botuverá cave"|311|"BTV21a"|177204|"371.2694601"|"777.4622066"|"864.9828552"|"-3.91"|"-7.47"
144|"Botuverá cave"|312|"BT-2"|177435|"430.136728"|"62.81105057"|"62.93934436"|"-3.23"|"-6.46"
144|"Botuverá cave"|311|"BTV21a"|177205|"434.2312696"|"729.2447682"|"812.6175878"|"-4.15"|"-7.88"
144|"Botuverá cave"|311|"BTV21a"|177206|"496.0968624"|"680.1989981"|"758.8566676"|"-3.81"|"-8.02"
144|"Botuverá cave"|312|"BT-2"|177436|"550.17091"|"78.51381321"|"78.67418045"|"-3.12"|"-6.3"
144|"Botuverá cave"|311|"BTV21a"|177207|"555.7604391"|"629.3830521"|"703.0245976"|"-3.61"|"-8.18"
144|"Botuverá cave"|311|"BTV21a"|177208|"614.2569204"|"579.1208112"|"647.0011178"|"-3.51"|"-7.9"
144|"Botuverá cave"|312|"BT-2"|177437|"670.205092"|"94.21657585"|"94.40901655"|"-3.03"|"-6.64"
144|"Botuverá cave"|311|"BTV21a"|177209|"671.6044117"|"534.9430464"|"593.857582"|"-3.81"|"-7.67"
144|"Botuverá cave"|311|"BTV21a"|177210|"731.061749"|"491.0895187"|"540.9106904"|"-3.54"|"-5.54"
144|"Botuverá cave"|311|"BTV21a"|177211|"792.245053"|"447.9683016"|"487.2228691"|"-3.63"|"-7.19"
144|"Botuverá cave"|311|"BTV21a"|177212|"851.4132458"|"406.2764839"|"435.5118007"|"-3.39"|"-7.95"
144|"Botuverá cave"|312|"BT-2"|177438|"910.273456"|"125.6221011"|"125.8786887"|"-3.49"|"-6.78"
144|"Botuverá cave"|311|"BTV21a"|177213|"912.0684722"|"360.7986294"|"386.04319"|"-3.8"|"-8.08"
144|"Botuverá cave"|311|"BTV21a"|177214|"972.1335053"|"322.0043946"|"338.1089946"|"-3.87"|"-8.7"
144|"Botuverá cave"|312|"BT-2"|177439|"1030.307638"|"141.3248638"|"141.6135248"|"-2.77"|"-6.29"
144|"Botuverá cave"|311|"BTV21a"|177215|"1032.113881"|"285.1121819"|"292.1569416"|"-3.75"|"-8.2"
144|"Botuverá cave"|311|"BTV21a"|177216|"1092.762759"|"246.4982352"|"250.5645176"|"-4.231"|"-8.589"
144|"Botuverá cave"|312|"BT-2"|177440|"1150.34182"|"157.0276264"|"157.3483609"|"-2.92"|"-6.36"
144|"Botuverá cave"|311|"BTV21a"|177217|"1155.026566"|"205.652306"|"212.2911306"|"-3.6"|"-8.48"
144|"Botuverá cave"|311|"BTV21a"|177218|"1214.807181"|"180.7581361"|"180.4757896"|"-4.08"|"-8.7"
144|"Botuverá cave"|312|"BT-2"|177441|"1270.376002"|"172.7303891"|"173.083197"|"-2.75"|"-5.95"
