"site_id"|"site_name"|"geom"|"wkt"|"min_age_bp"|"max_age_bp"|"age_range_years"|"n_d18o_samples"|"n_d13c_samples"
141|"Sofular cave"|"0101000020E6100000575BB1BFECEE3F40211FF46C56B54440"|"POINT(31.9333 41.4167)"|52|620563109|620563057|"9265"|"3962"
117|"Bunker cave"|"0101000020E6100000D49AE61DA7A81E40D7A3703D0AAF4940"|"POINT(7.6647 51.3675)"|-490|10391098|10391588|"6356"|"6356"
9|"Tonnel’naya cave"|"0101000020E61000001F85EB51B8CE50403333333333334340"|"POINT(67.23 38.4)"|205|133901751|133901546|"5880"|"5880"
58|"Spannagel cave"|"0101000020E6100000D7A3703D0A5727400AD7A3703D8A4740"|"POINT(11.67 47.08)"|2414|10831654|10829240|"8939"|"2484"
115|"Hölloch im Mahdtal"|"0101000020E6100000228E75711B4D24400E4FAF9465B04740"|"POINT(10.1506 47.3781)"|11225|63648771|63637546|"5530"|"5530"
140|"Sanbao cave"|"0101000020E6100000D656EC2FBB9B5B40986E1283C0AA3F40"|"POINT(110.4333 31.667)"|-11|462404321|462404332|"9535"|"0"
10|"Jaraguá cave"|"0101000020E6100000B4C876BE9F4A4CC06891ED7C3F1535C0"|"POINT(-56.583 -21.083)"|-62|27484422|27484484|"4358"|"4358"
1|"Bittoo cave"|"0101000020E61000005227A089B07153405F07CE1951CA3E40"|"POINT(77.7764 30.7903)"|783|281370527|281369744|"4167"|"4167"
107|"Yok Balum cave"|"0101000020E610000062105839B44456C013F241CF66353040"|"POINT(-89.0735 16.2086)"|-56|1414401|1414457|"4047"|"4047"
54|"Sahiya cave"|"0101000020E61000005DDC4603787753409A99999999993E40"|"POINT(77.8667 30.6)"|-56|4630514|4630570|"3734"|"3734"
12|"Mawmluh cave"|"0101000020E61000008638D6C56DF85640DE02098A1F433940"|"POINT(91.8817 25.2622)"|-61|33315922|33315983|"4701"|"2480"
55|"Sieben Hengste cave"|"0101000020E61000003D0AD7A3703D1F400000000000604740"|"POINT(7.81 46.75)"|14612|31437936|31423324|"5720"|"1439"
24|"Lapa sem fim cave"|"0101000020E61000000E4FAF94655046C0BC96900F7A2630C0"|"POINT(-44.6281 -16.1503)"|1037|81310996|81309959|"4229"|"2218"
289|"Gassel Tropfsteinhöhle"|"0101000020E61000003A234A7B83AF2B400C93A98251E94740"|"POINT(13.8428 47.8228)"|76546|106558096|106481550|"3029"|"3029"
116|"Bukit Assam cave"|"0101000020E61000003333333333B35C401F85EB51B81E1040"|"POINT(114.8 4.03)"|124|29434212|29434088|"4827"|"862"
101|"Klapferloch cave"|"0101000020E61000009A999999991925409A99999999794740"|"POINT(10.55 46.95)"|-49|2947865|2947914|"2814"|"2814"
145|"Antro del Corchia"|"0101000020E61000001E166A4DF36E244012143FC6DCFD4540"|"POINT(10.2167 43.9833)"|2476|139598043|139595567|"2852"|"2740"
39|"Dongge cave"|"0101000020E61000006FF085C954055B40F1F44A5986483940"|"POINT(108.0833 25.2833)"|79|224485992|224485913|"5404"|"0"
3|"Paraiso cave"|"0101000020E61000009A99999999B94BC0A3923A014D4410C0"|"POINT(-55.45 -4.0667)"|-48|44804992|44805040|"3184"|"2179"
139|"Oregon caves national monument"|"0101000020E610000099BB96900FDA5EC06ADE718A8E0C4540"|"POINT(-123.4072 42.0981)"|263|6074504|6074241|"2680"|"2680"
181|"Forestry cave"|"0101000020E6100000BA490C022BFF6340EE7C3F355EFA22C0"|"POINT(159.974 -9.489)"|-26|74|100|"2679"|"2679"
221|"La Vierge cave"|"0101000020E6100000BADA8AFD65AF4F40FD87F4DBD7C133C0"|"POINT(63.3703 -19.7572)"|-96|4841026|4841122|"2666"|"2666"
339|"Pozzo Cucù cave"|"0101000020E6100000295C8FC2F52831403333333333734440"|"POINT(17.16 40.9)"|24872|105119|80246|"2658"|"2658"
205|"São Bernardo cave"|"0101000020E6100000CDCCCCCCCC2C47C01F85EB51B89E2BC0"|"POINT(-46.35 -13.81)"|-60|852|912|"3428"|"1714"
94|"Anjohibe"|"0101000020E6100000713D0AD7A37047408FC2F5285C0F2FC0"|"POINT(46.88 -15.53)"|-64|1238974|1239038|"2553"|"2553"
100|"Katerloch cave"|"0101000020E61000009A99999999192F40DFE00B93A98A4740"|"POINT(15.55 47.0833)"|7690|10027769|10020079|"2534"|"2534"
105|"Schneckenloch cave"|"0101000020E6100000EBE2361AC0BB2340ACADD85F76B74740"|"POINT(9.8667 47.4333)"|74402|134287804|134213402|"2477"|"2477"
104|"Liang Luar"|"0101000020E6100000EC51B81E851B5E408FC2F5285C0F21C0"|"POINT(120.43 -8.53)"|-54|88047941|88047995|"2715"|"2047"
333|"Neotektonik cave"|"0101000020E6100000B8AF03E78C882040787AA52C43644740"|"POINT(8.2667 46.7833)"|113300|132279|18980|"2285"|"2285"
250|"Wuya cave"|"0101000020E6100000EC51B81E855B5A40295C8FC2F5E84040"|"POINT(105.43 33.82)"|879|11258|10379|"2282"|"2282"
122|"Heshang cave"|"0101000020E6100000910F7A36AB9A5B403333333333733E40"|"POINT(110.4167 30.45)"|96|8224118|8224022|"2086"|"2086"
325|"Larga cave"|"0101000020E61000003333333333B350C052B81E85EB513240"|"POINT(-66.8 18.32)"|NULL|NULL|NULL|"2049"|"2032"
123|"Milchbach cave"|"0101000020E6100000D122DBF97E2A2040BBB88D06F04E4740"|"POINT(8.083 46.6167)"|1980|6096198|6094218|"1995"|"1995"
262|"Bleßberg cave"|"0101000020E6100000B537F8C2640A264011363CBD52364940"|"POINT(11.0203 50.4244)"|210|5557744|5557534|"1957"|"1957"
308|"GD8"|"0101000020E61000001EA7E8482EBF35C0C0EC9E3C2C185440"|"POINT(-21.7468 80.3777)"|NULL|NULL|NULL|"1918"|"1918"
130|"Dandak cave"|"0101000020E610000000000000008054400000000000003340"|"POINT(82 19)"|428|1326|899|"1874"|"1871"
226|"Cueva del Diamante"|"0101000020E610000000000000006053C0EC51B81E85EB16C0"|"POINT(-77.5 -5.73)"|2396|246167617|246165221|"1830"|"1833"
11|"Jeita cave"|"0101000020E61000003333333333D341409A99999999F94040"|"POINT(35.65 33.95)"|368|12159864|12159496|"1830"|"1830"
70|"Abaco Island cave"|"0101000020E61000000AD7A3703D4A53C07B14AE47E13A3A40"|"POINT(-77.16 26.23)"|14054|42973667|42959613|"1828"|"1828"
183|"Dos Anas cave"|"0101000020E6100000AE47E17A14FE54C0E17A14AE47613640"|"POINT(-83.97 22.38)"|-66|1181|1247|"1823"|"1824"
209|"Uluu-Too cave"|"0101000020E610000066666666661652403333333333334440"|"POINT(72.35 40.4)"|-29|4692|4721|"1807"|"1807"
219|"Shennong cave"|"0101000020E6100000713D0AD7A3505D40F6285C8FC2B53C40"|"POINT(117.26 28.71)"|930|14015|13085|"1800"|"1800"
