site_id,site_name,latitude,longitude,elevation,monitoring,n_d18o_samples,n_d13c_samples,n_entities
1,Bittoo cave,30.7903,77.7764,3000.0,yes,4815,4815,10
2,Kesang cave,42.8700,81.7500,2000.0,no,3843,2679,13
3,Paraiso cave,-4.0667,-55.4500,60.0,yes,5379,2187,10
4,Villars cave,45.4300,0.7800,175.0,yes,1755,1755,7
5,Yangkou cave,29.0333,107.1833,2140.0,yes,2535,1104,7
6,Hulu cave,32.5000,119.1700,86.0,unknown,3054,0,9
7,Cold Air cave,-24.0000,29.1833,1420.0,yes,3079,3079,5
8,Lancaster Hole,54.2209,-2.5168,294.0,yes,1206,1206,3
9,Tonnel’naya cave,38.4000,67.2300,3226.0,no,6253,6253,2
10,Jaraguá cave,-21.0830,-56.5830,570.0,yes,7744,4358,7
11,Jeita cave,33.9500,35.6500,100.0,no,1830,1830,3
12,Mawmluh cave,25.2622,91.8817,1160.0,yes,4701,2480,8
13,Ball Gown cave,-17.0300,125.0000,100.0,yes,502,262,7
14,Lehman caves,39.0100,-114.2200,2080.0,yes,491,491,5
15,Baschg cave,47.2501,9.6667,780.0,no,3156,666,5
16,Han-sur-Lesse cave,50.1164,5.1884,180.0,no,983,984,3
17,Huangye cave,33.5833,105.1167,1650.0,no,543,0,3
18,Abissal cave,-5.5642,-37.6659,100.0,no,188,0,2
19,Kanaan cave,33.9069,35.6069,98.0,yes,1012,1012,2
20,Secret cave,4.0848,114.8503,250.0,unknown,791,102,3
21,Uamh an Tartair,58.1400,-4.9300,220.0,yes,596,596,2
22,RukieSSa cave,8.6036,40.3772,1618.0,yes,173,173,2
23,Lapa grande cave,-14.3700,-44.2800,590.0,no,2670,758,5
24,Lapa sem fim cave,-16.1503,-44.6281,341.0,yes,4232,2218,11
25,Palestina cave,-5.9200,-77.3500,870.0,yes,434,435,2
26,Okshola cave,67.0000,15.0000,165.0,no,438,438,2
27,Tamboril cave,-16.0000,-47.0000,200.0,yes,866,866,3
28,Valmiki cave ,15.1500,77.8167,420.0,no,485,263,2
29,Mairs cave,-32.1600,138.8300,475.0,no,878,878,2
30,Lobatse cave,-25.2100,25.6800,1200.0,no,117,117,2
31,Abaliget cave,46.1333,18.1167,209.0,yes,779,779,2
32,Anjokipoty,-15.5784,46.7344,43.0,no,286,286,1
33,Bero cave,8.4241,40.3073,1363.0,yes,882,882,1
34,Cueva del Diablo,18.1920,-99.9210,1030.0,no,150,150,1
35,Curupira cave,-15.2002,-56.7839,420.0,no,253,253,1
36,Dayu cave,33.1330,106.3000,870.0,no,305,0,1
37,DeSoto caverns,33.3722,-86.3667,150.0,unknown,1459,1459,1
38,Diva cave,-12.3819,-41.5733,680.0,no,539,539,1
39,Dongge cave,25.2833,108.0833,680.0,no,5414,0,8
40,Excentrica cave,37.1000,-7.7700,100.0,yes,32,32,1
41,Fukugaguchi cave,36.9917,137.8000,170.0,yes,963,0,1
42,Ifoulki cave,30.7080,-9.3275,1250.0,no,727,727,2
43,Kalakot cave,33.2219,74.4258,826.0,no,245,245,1
44,Kapsia cave,37.6233,22.3539,700.0,yes,178,178,1
45,Kulishu cave,39.6800,115.6500,610.0,no,234,234,1
46,Labyrintgrottan cave,66.0600,14.6800,730.0,no,46,46,1
47,Larshullet cave,66.4381,14.1822,400.0,no,273,273,1
48,Leviathan cave,37.8900,-115.5800,2400.0,yes,1430,1430,1
49,McLean's cave,38.0700,-120.4200,300.0,no,900,900,2
50,Moaning cave,38.0717,-120.4655,520.0,no,114,114,1
51,Natural Bridge caverns,29.6900,-98.3400,306.0,yes,255,257,1
52,Pau d'Alho cave,-15.2055,-56.8000,340.0,no,1170,1170,1
53,Pippikin Pot cave,54.2143,-2.5123,320.0,yes,483,483,1
54,Sahiya cave,30.6000,77.8667,1190.0,no,7580,7580,9
55,Sieben Hengste cave,46.7500,7.8100,1955.0,unknown,20974,1439,4
56,Skala Marion cave,40.6387,24.5144,41.0,unknown,209,209,1
57,Soylegrotta cave,66.0000,14.0000,280.0,yes,477,477,2
58,Spannagel cave,47.0800,11.6700,2310.0,no,14199,3401,11
59,Suozi cave,32.4300,107.1700,700.0,no,183,183,1
60,Taurius cave,-15.5333,167.0167,230.0,no,1630,1630,1
61,Timta cave,29.8381,82.0336,1900.0,no,362,362,1
62,Torrinha cave,-12.3495,-41.6038,680.0,unknown,91,91,1
63,Tzabnah cave,20.7300,-89.7160,20.0,unknown,709,0,1
64,Wah Shikhar cave,25.2500,91.8667,1290.0,no,625,602,1
65,Whiterock cave,4.1500,114.8600,250.0,unknown,1142,189,3
66,White Scar cave,54.1656,-2.4419,255.0,yes,160,160,1
67,Clearwater/Wind caves connection,4.1000,114.8300,224.0,unknown,407,407,1
68,Jerusalem west cave,31.7833,35.1500,700.0,unknown,308,0,1
69,Xinglong cave,40.5000,117.5000,710.0,yes,569,395,2
70,Abaco Island cave,26.2300,-77.1600,-45.0,no,2650,2650,5
71,Baradla cave,48.4667,20.5000,375.0,yes,680,680,3
72,Ascunsa cave,45.0000,22.6000,1050.0,yes,890,890,2
73,Bourgeois–Delaunay cave,45.6678,0.5133,100.0,no,358,358,1
74,Cango cave,-33.3925,22.2147,687.0,no,178,178,1
75,Cave Without a Name,29.8852,-98.6208,377.0,yes,395,386,1
76,Ceremosnja cave,44.4000,21.6500,530.0,yes,100,100,1
77,Chauvet cave,44.2300,4.2600,240.0,yes,210,210,1
78,Chilibrillo cave,9.1741,-79.6164,60.0,no,483,483,1
79,Dim cave,36.5340,32.1056,232.0,no,1050,1050,5
80,Furong cave,29.2289,107.9036,480.0,yes,669,299,2
81,Gueldaman cave,36.4333,4.5667,507.0,no,425,425,2
82,Hollywood cave,-41.9500,171.4700,100.0,unknown,856,856,2
83,La Mine cave,36.0300,9.6800,975.0,no,78,78,1
84,Leány cave,47.7000,18.8400,420.0,no,189,189,1
85,Macal Chasm,16.8830,-89.1080,530.0,unknown,660,660,1
86,Modric cave,44.2568,15.5372,32.0,yes,218,218,3
87,Pindal cave,43.4000,-4.5300,24.0,yes,1217,1199,6
88,Postojna cave,45.7700,14.2000,529.0,yes,10,10,1
89,New St Michael's cave,36.1261,-5.3455,325.0,yes,443,443,1
90,Trió cave,46.1100,18.1500,275.0,no,142,142,1
91,Ursilor cave,46.5537,22.5695,482.0,unknown,39,39,1
92,Bir-Uja cave,40.4833,72.5833,1435.0,yes,447,447,1
93,Green Cathedral cave,4.2333,114.9250,569.0,unknown,655,656,1
94,Anjohibe,-15.5300,46.8800,131.0,no,2556,2556,5
95,Brown's cave,27.8894,-82.5186,25.0,no,1476,1476,1
96,Brown's Folly mine,51.3800,-2.3700,150.0,yes,46,46,3
97,Bue Marino cave,40.2467,9.6228,0.0,unknown,295,295,1
98,Crag cave,52.2500,-9.4300,60.0,yes,145,145,1
99,Dante cave,-19.4000,17.8833,1400.0,unknown,579,579,2
100,Katerloch cave,47.0833,15.5500,900.0,yes,2534,2534,4
101,Klapferloch cave,46.9500,10.5500,1140.0,yes,2814,2814,1
102,Korallgrottan cave,64.8900,14.1600,570.0,yes,486,486,2
103,Lapa Doce cave,-12.3344,-41.6043,680.0,no,124,124,1
104,Liang Luar,-8.5300,120.4300,550.0,no,4625,2050,16
105,Schneckenloch cave,47.4333,9.8667,1285.0,unknown,3235,2481,3
106,Seso cave,42.4600,0.0400,794.0,yes,153,153,1
107,Yok Balum cave,16.2086,-89.0735,336.0,yes,7534,7589,2
108,Clamouse cave,43.7100,3.5500,110.0,yes,309,309,2
109,Molinos cave,40.7925,-0.4492,1050.0,yes,309,309,2
110,Ma'ale Efrayim cave,32.0660,35.3952,250.0,unknown,394,392,1
