site_id,site_name,entity_id,entity_name,sample_id,age_bp,age_uncert_pos,age_uncert_neg,d18o,d13c
122,Heshang cave,253,HS4_2008,138308,96.37422308,437.4236737,629.8361656,-7.96,-12.36
122,Heshang cave,253,HS4_2008,138309,97.86876255,436.0397408,628.1282337,-7.95,-12.76
122,Heshang cave,253,HS4_2008,138310,99.55011946,434.4828163,626.2068103,-7.86,-12.21
122,Heshang cave,253,HS4_2008,138311,101.0446589,433.0988835,624.4988784,-7.92,-12.42
122,Heshang cave,253,HS4_2008,138312,102.5391984,431.7149506,622.7909465,-8.11,-12.57
122,Heshang cave,253,HS4_2008,138313,104.2151549,430.1634266,620.8641227,-7.95,-12.55
122,Heshang cave,253,HS4_2008,138314,105.6562789,428.8515689,619.1027753,-7.87,-12.62
122,Heshang cave,253,HS4_2008,138315,107.0974029,427.7792425,617.341428,-8.08,-12.4
122,Heshang cave,253,HS4_2008,138316,108.7186675,426.5728752,615.3599122,-7.92,-12.34
122,Heshang cave,253,HS4_2008,138317,110.1597915,425.5005488,613.5985649,-7.84,-12.26
122,Heshang cave,253,HS4_2008,138318,111.544579,424.4357129,611.7808811,-7.91,-12.48
122,Heshang cave,253,HS4_2008,138319,113.0758877,423.1473852,609.7094095,-7.9,-12.36
122,Heshang cave,253,HS4_2008,138320,114.437051,422.0022051,607.8681014,-7.89,-12.38
122,Heshang cave,253,HS4_2008,138321,115.4579235,421.1433199,606.4871203,-7.48,-10.78
122,Heshang cave,253,HS4_2008,138322,116.3086506,420.4275823,605.3363028,-7.37,-10.99
122,Heshang cave,253,HS4_2008,138323,117.329523,419.5686972,603.9553217,-7.43,-10.81
122,Heshang cave,253,HS4_2008,138324,118.1802501,418.8421319,602.8045042,-7.45,-10.99
122,Heshang cave,253,HS4_2008,138325,119.2011226,417.9656725,601.4235231,-7.44,-11.13
122,Heshang cave,253,HS4_2008,138326,120.0518496,417.2352897,600.2727056,-7.39,-11.08
122,Heshang cave,253,HS4_2008,138327,121.0727221,416.3588303,598.8917245,-7.46,-11.11
122,Heshang cave,253,HS4_2008,138328,121.9234492,415.6284474,597.740907,-7.76,-11.71
122,Heshang cave,253,HS4_2008,138329,122.9443216,414.751988,596.3599259,-7.85,-11.99
122,Heshang cave,253,HS4_2008,138330,124.0025587,413.8381641,595.0163094,-7.95,-12.07
