site_id,site_name,entity_id,entity_name,sample_id,age_bp,age_uncert_pos,age_uncert_neg,d18o,d13c
10,Jaraguá cave,447,JAR4,304745,-61.88978134,7.202482474,7.13635629,-5.64,-9.96
10,Jaraguá cave,447,JAR4,304746,-44.88356101,5.182862407,5.270531978,-5,-9.38
10,Jaraguá cave,447,JAR4,304747,-36.3843515,4.407882024,4.442064982,-4.89,-9.05
10,Jaraguá cave,447,JAR4,304748,-27.84778061,3.914869845,4.024101168,-4.59,-8.43
10,Jaraguá cave,447,JAR4,304749,-19.3574285,3.864967819,4.046683876,-4.34,-7.97
10,Jaraguá cave,447,JAR4,304750,-10.84382059,4.295821971,4.361531055,-3.95,-7.66
10,Jaraguá cave,447,JAR4,304751,-2.397385966,5.299605712,4.977929938,-4.5,-8.41
10,Jaraguá cave,447,JAR4,304752,6.04550679,6.324705594,5.769957041,-4.47,-8.39
10,Jaraguá cave,447,JAR4,304753,14.54648701,7.325621179,6.669814282,-4.93,-8.87
10,Jaraguá cave,447,JAR4,304754,21.10818757,6.705501611,6.087457663,-5.15,-9.07
10,Jaraguá cave,447,JAR4,304755,27.2688752,5.766490122,5.280345107,-4.27,-8.68
10,Jaraguá cave,447,JAR4,304756,33.41058753,4.80274576,4.462614816,-4.86,-9.08
10,Jaraguá cave,447,JAR4,304757,39.49985299,3.889969714,3.5581634,-4.79,-9.25
10,Jaraguá cave,447,JAR4,304758,45.66140912,3.02165713,2.852217969,-4.46,-9.06
10,Jaraguá cave,447,JAR4,304759,51.76985999,2.483368101,2.458943721,-4.41,-9.19
10,Jaraguá cave,447,JAR4,304760,57.9146695,2.401347589,2.430729479,-4.47,-9.12
10,Jaraguá cave,447,JAR4,304761,60.19956045,2.4626543,2.553075471,-4.31,-9.22
10,Jaraguá cave,447,JAR4,304762,60.32133553,2.447596367,2.4865381,-4.52,-9.02
10,Jaraguá cave,447,JAR4,304763,60.43837921,2.377540267,2.429966764,-4.69,-9.17
10,Jaraguá cave,447,JAR4,304764,60.56274624,2.368888907,2.432223181,-4.77,-9.02
10,Jaraguá cave,447,JAR4,304765,60.68561351,2.386748682,2.444398335,-4.8,-9.01
10,Jaraguá cave,447,JAR4,304766,60.84772272,2.377202758,2.455795645,-5.22,-8.69
10,Jaraguá cave,447,JAR4,304767,60.97451608,2.371637824,2.473454578,-5.73,-8.51
10,Jaraguá cave,447,JAR4,304768,62.36903128,2.258318401,2.425818258,-4.36,-7.9
10,Jaraguá cave,447,JAR4,304769,66.48895494,2.045977832,2.179188567,-4.82,-8.5
10,Jaraguá cave,447,JAR4,304770,70.64251071,2.087974815,2.166963989,-5.7,-9.35
10,Jaraguá cave,447,JAR4,304771,74.76912435,2.32356233,2.327689105,-4.73,-8.54
10,Jaraguá cave,447,JAR4,304772,78.90151148,2.69137572,2.683969786,-5.08,-8.98
10,Jaraguá cave,447,JAR4,304773,83.06615408,3.210466555,3.203387369,-5.31,-9.2
10,Jaraguá cave,447,JAR4,304774,87.24858287,3.699830327,3.8305021,-5.59,-9.48
10,Jaraguá cave,447,JAR4,304775,91.64941327,3.649540069,3.811550767,-5.22,-9.02
10,Jaraguá cave,447,JAR4,304776,96.23011569,3.297313886,3.513405489,-5.09,-8.82
10,Jaraguá cave,447,JAR4,304777,100.7108822,3.293418926,3.312230541,-4.61,-8.3
10,Jaraguá cave,447,JAR4,304778,105.2768517,3.609886523,3.712064763,-5.36,-8.66
10,Jaraguá cave,447,JAR4,304779,109.8346145,4.24352424,4.272246478,-5.9,-8.98
10,Jaraguá cave,447,JAR4,304780,114.3616776,5.104630169,5.000225726,-5.46,-8.85
10,Jaraguá cave,447,JAR4,304781,118.5403813,5.544083838,5.471849739,-5.18,-8.65
10,Jaraguá cave,447,JAR4,304782,121.0991433,4.653643015,4.669410015,-4.51,-8.35
10,Jaraguá cave,447,JAR4,304783,123.6420598,3.968562149,4.017957521,-5.09,-8.87
10,Jaraguá cave,447,JAR4,304784,126.1579861,3.440642954,3.454541298,-5.21,-9.17
10,Jaraguá cave,447,JAR4,304785,128.7140588,2.876555301,3.073546864,-5.24,-9.29
10,Jaraguá cave,447,JAR4,304786,131.2490528,2.768488682,2.79430395,-5.08,-9.45
10,Jaraguá cave,447,JAR4,304787,133.7408058,2.858967774,2.948727984,-4.9,-8.92
10,Jaraguá cave,447,JAR4,304788,136.1639971,3.056077363,3.197211927,-4.7,-8.9
10,Jaraguá cave,447,JAR4,304789,137.7551151,2.593806492,2.733142966,-5.15,-9.09
10,Jaraguá cave,447,JAR4,304790,139.2985915,2.391771589,2.476472027,-5.6,-9.07
10,Jaraguá cave,447,JAR4,304791,140.8199171,2.559200172,2.509710788,-5.3,-9.12
10,Jaraguá cave,447,JAR4,304792,142.3758798,2.97030963,2.819475152,-5.48,-9.27
10,Jaraguá cave,447,JAR4,304793,143.8994592,3.587054265,3.309082756,-5.56,-9.38
10,Jaraguá cave,447,JAR4,304794,145.6843424,3.936026585,3.625238567,-5.99,-9.17
10,Jaraguá cave,447,JAR4,304795,148.0769127,3.610126865,3.302793839,-6.23,-9.52
10,Jaraguá cave,447,JAR4,304796,150.4367184,3.299499079,3.085720056,-5.52,-9.17
10,Jaraguá cave,447,JAR4,304797,152.7953214,3.005565235,2.937580579,-5.56,-9.37
10,Jaraguá cave,447,JAR4,304798,155.1465474,3.013542144,2.856228491,-5.8,-9.38
10,Jaraguá cave,447,JAR4,304799,157.4911229,3.011104654,2.80295424,-5.3,-8.68
10,Jaraguá cave,447,JAR4,304800,159.8431949,3.120443118,2.899636438,-5.36,-8.64
10,Jaraguá cave,447,JAR4,304801,162.1989968,3.379363015,3.140924972,-6.02,-9.17
10,Jaraguá cave,447,JAR4,304802,164.4825672,3.710580807,3.453230198,-6.21,-9.51
10,Jaraguá cave,447,JAR4,304803,166.8607413,4.026342466,3.865730777,-5.43,-8.85
10,Jaraguá cave,447,JAR4,304804,168.8416649,3.97678661,3.846407742,-5.22,-8.69
10,Jaraguá cave,447,JAR4,304805,170.4884762,3.563160446,3.414297719,-5.35,-8.85
10,Jaraguá cave,447,JAR4,304806,172.1501331,3.199216768,3.08619245,-5.3,-8.65
10,Jaraguá cave,447,JAR4,304807,173.787501,3.015200111,2.869253605,-5.57,-8.32
10,Jaraguá cave,447,JAR4,304808,175.4533911,2.9402002,2.781749513,-5.59,-8.41
10,Jaraguá cave,447,JAR4,304809,177.0918256,3.077215724,2.92813587,-5.67,-8.52
10,Jaraguá cave,447,JAR4,304810,178.7818991,3.361472801,3.259476933,-5.74,-8.43
10,Jaraguá cave,447,JAR4,304811,180.4702282,3.639121638,3.713678987,-6.13,-8.62
10,Jaraguá cave,447,JAR4,304812,182.146403,4.153120362,4.174638256,-6.62,-8.72
10,Jaraguá cave,447,JAR4,304813,184.3422868,3.739008094,3.773045977,-5.69,-8.3
10,Jaraguá cave,447,JAR4,304814,186.5541058,3.319783767,3.425139798,-6.1,-8.64
10,Jaraguá cave,447,JAR4,304815,188.705684,2.98441904,3.077674865,-5.75,-8.64
10,Jaraguá cave,447,JAR4,304816,190.9112235,2.724471838,2.873027769,-5.87,-8.61
10,Jaraguá cave,447,JAR4,304817,197.5395344,2.549716483,2.626044508,-5.1,-9.05
10,Jaraguá cave,447,JAR4,304818,199.7213458,2.689616725,2.813063946,-5.35,-8.9
10,Jaraguá cave,447,JAR4,304819,201.9695648,2.852335975,3.136926487,-5.46,-9.27
10,Jaraguá cave,447,JAR4,304820,204.2393275,3.115887379,3.396002563,-6.13,-9.22
10,Jaraguá cave,447,JAR4,304821,207.4153909,2.934274417,3.153502379,-6.21,-9.22
10,Jaraguá cave,447,JAR4,304822,210.6154949,2.76497735,3.014176421,-5.67,-8.75
10,Jaraguá cave,447,JAR4,304823,213.8149655,2.671180582,2.918644086,-4.98,-8.15
10,Jaraguá cave,447,JAR4,304824,216.9828284,2.71715525,2.880382418,-5.46,-8.6
10,Jaraguá cave,447,JAR4,304825,220.1859083,2.869109148,2.935435172,-5.6,-8.63
10,Jaraguá cave,447,JAR4,304826,223.3972363,3.035167533,3.153796366,-6,-9.07
10,Jaraguá cave,447,JAR4,304827,226.55836,3.376569421,3.374045062,-5.41,-8.61
10,Jaraguá cave,447,JAR4,304828,229.7590561,3.669659255,3.687381207,-5.07,-8.56
10,Jaraguá cave,447,JAR4,304829,232.9358243,4.0185335,3.991994237,-5.44,-8.66
10,Jaraguá cave,447,JAR4,304830,236.119086,4.427535523,4.344941,-5.55,-8.98
10,Jaraguá cave,447,JAR4,304831,239.2456497,4.855521771,4.74361396,-5.85,-9.1
10,Jaraguá cave,447,JAR4,304832,246.7271959,3.860239112,3.761919077,-5.19,-8.26
10,Jaraguá cave,447,JAR4,304833,249.2253268,3.59316866,3.478921893,-4.86,-8.18
10,Jaraguá cave,447,JAR4,304834,251.7561253,3.310717657,3.234304682,-5.3,-8.51
10,Jaraguá cave,447,JAR4,304835,254.265008,3.122836,3.011359239,-5.24,-7.88
10,Jaraguá cave,447,JAR4,304836,256.7662891,2.876284781,2.858689178,-5.23,-7.99
10,Jaraguá cave,447,JAR4,304837,259.2645855,2.765753088,2.773751389,-5.53,-8.04
10,Jaraguá cave,447,JAR4,304838,261.7714078,2.712734266,2.781884357,-5.11,-8.39
10,Jaraguá cave,447,JAR4,304839,264.2820613,2.771452417,2.775470114,-5.05,-8.6
10,Jaraguá cave,447,JAR4,304840,266.7959649,2.778062674,2.801959328,-5.25,-8.54
10,Jaraguá cave,447,JAR4,304841,269.272939,2.91085443,2.843571339,-5.28,-8.23
10,Jaraguá cave,447,JAR4,304842,271.7235521,3.106834275,2.959379005,-5.19,-8.22
10,Jaraguá cave,447,JAR4,304843,274.2189467,3.244874514,3.129302996,-5.28,-8.62
10,Jaraguá cave,447,JAR4,304844,276.7409948,3.104584177,2.986925163,-5.13,-8.58
10,Jaraguá cave,447,JAR4,304845,279.278005,2.777698896,2.732411537,-5.4,-8.92
10,Jaraguá cave,447,JAR4,304846,281.8124419,2.510894031,2.488556181,-4.97,-8.65
10,Jaraguá cave,447,JAR4,304847,284.3246151,2.366625139,2.236822001,-4.78,-7.81
10,Jaraguá cave,447,JAR4,304848,286.8546994,2.113861919,2.090777465,-4.26,-7.59
10,Jaraguá cave,447,JAR4,304849,289.3740253,1.989955368,2.025815207,-5.04,-8.58
10,Jaraguá cave,447,JAR4,304850,291.8989266,1.923459323,1.945033272,-5.03,-8.65
10,Jaraguá cave,447,JAR4,304851,294.4412936,1.940777363,2.011693733,-5.09,-8.51
10,Jaraguá cave,447,JAR4,304852,296.9911823,2.025799525,2.106090933,-5,-8.44
10,Jaraguá cave,447,JAR4,304853,299.4819182,2.202509183,2.19479261,-4.69,-8.36
10,Jaraguá cave,447,JAR4,304854,302.0028981,2.460756358,2.421833851,-5.34,-8.68
10,Jaraguá cave,447,JAR4,304855,304.4773431,2.316442321,2.313860507,-5.26,-8.83
10,Jaraguá cave,447,JAR4,304856,306.9668807,2.3149306,2.343807361,-5.33,-8.81
10,Jaraguá cave,447,JAR4,304857,309.4580304,2.404860056,2.482458838,-5.34,-8.73
10,Jaraguá cave,447,JAR4,304858,311.9708544,2.572134761,2.764547371,-5.61,-8.72
