site_id,site_name,entity_id,entity_name,sample_id,age_bp,age_uncert_pos,age_uncert_neg,d18o,d13c
202,Piani Eterni karst system,425,MN1,274105,84274.77881,476.1618471,515.1118641,-7.35700302518,-2.22804117628
202,Piani Eterni karst system,425,MN1,274106,84293.65791,466.9094532,505.7506986,-7.32200787363,-2.37878290063
202,Piani Eterni karst system,425,MN1,274107,84314.05928,458.6979015,497.9519713,-7.34376462889,-2.33868248397
202,Piani Eterni karst system,425,MN1,274108,84334.19838,450.9919247,488.3841683,-7.57,-2.052
202,Piani Eterni karst system,425,MN1,274109,84354.75286,441.5069432,477.5835047,-7.45686433745,-2.23115329365
202,Piani Eterni karst system,425,MN1,274110,84374.02044,429.8754571,465.2797575,-7.38370398279,-2.53714529634
202,Piani Eterni karst system,425,MN1,274111,84393.33052,420.8789537,455.3018089,-7.34636183845,-2.69034521411
202,Piani Eterni karst system,425,MN1,274112,84410.29912,412.1173699,440.9694783,-7.34004381018,-2.20737648448
202,Piani Eterni karst system,425,MN1,274113,84429.19135,403.9019041,430.8806079,-7.342,-2.552
202,Piani Eterni karst system,425,MN1,274114,84448.61776,395.1766767,420.6469679,-7.393,-2.873
202,Piani Eterni karst system,425,MN1,274115,84468.30648,382.6418432,411.1007182,-7.36,-2.739
202,Piani Eterni karst system,425,MN1,274116,84488.96269,374.4254925,402.1932697,-7.35,-2.218
202,Piani Eterni karst system,425,MN1,274117,84507.22539,366.2249285,391.6259909,-7.39,-1.598
202,Piani Eterni karst system,425,MN1,274118,84526.78417,357.4953521,381.698753,-7.345,-1.566
202,Piani Eterni karst system,425,MN1,274119,84548.59517,349.2354705,373.9843446,-7.6,-2.446
202,Piani Eterni karst system,425,MN1,274120,84568.00069,340.8342421,364.6059124,-7.752,-3.027
202,Piani Eterni karst system,425,MN1,274121,84587.33973,333.8726346,354.3635672,-7.76,-3.625
202,Piani Eterni karst system,425,MN1,274122,84604.43852,325.6584343,345.0860351,-7.835,-3.281
202,Piani Eterni karst system,425,MN1,274123,84625.28669,318.719525,338.5123476,-7.505,-3.295
202,Piani Eterni karst system,425,MN1,274124,84643.62893,308.8935049,328.8905699,-7.685,-3.102
202,Piani Eterni karst system,425,MN1,274125,84662.40663,302.9625211,319.8665843,-7.586,-2.315
202,Piani Eterni karst system,425,MN1,274126,84681.51215,298.6101455,311.9070862,-7.685,-2.053
202,Piani Eterni karst system,425,MN1,274127,84699.64151,293.7843299,301.6704299,-7.75,-2.069
202,Piani Eterni karst system,425,MN1,274128,84718.25314,286.5738325,294.4790366,-7.811,-2.89
202,Piani Eterni karst system,425,MN1,274129,84737.61759,281.4840312,286.3464547,-7.452,-3.193
202,Piani Eterni karst system,425,MN1,274130,84756.1875,281.5206343,280.7840318,-7.75,-1.768
202,Piani Eterni karst system,425,MN1,274131,84777.62832,277.1166585,276.9131632,-7.52,-1.364
202,Piani Eterni karst system,425,MN1,274132,84796.64444,272.0604235,270.0235432,-7.49,-1.667
202,Piani Eterni karst system,425,MN1,274133,84817.66628,264.494915,266.0197899,-7.434,-2.628
202,Piani Eterni karst system,425,MN1,274134,84840.24527,260.3085731,263.1897698,-7.394,-1.73
202,Piani Eterni karst system,425,MN1,274135,84859.40626,259.1072991,256.7830429,-7.531,-2.522
202,Piani Eterni karst system,425,MN1,274136,84877.11668,259.0521426,251.1917539,-7.23,-4.213
202,Piani Eterni karst system,425,MN1,274137,84896.707,256.9215349,245.9220629,-7.393,-2.486
202,Piani Eterni karst system,425,MN1,274138,84917.84209,248.1849036,243.8684878,-7.177,-2.442
202,Piani Eterni karst system,425,MN1,274139,84935.03417,251.5695845,238.5225399,-7.404,-2.402
202,Piani Eterni karst system,425,MN1,274140,84956.12881,249.2346594,239.6451671,-7.565,-2.117
202,Piani Eterni karst system,425,MN1,274141,84976.12174,247.7925036,239.0504272,-7.6,-1.402
202,Piani Eterni karst system,425,MN1,274142,84995.31886,245.2067444,240.6367246,-7.784,-1.465
202,Piani Eterni karst system,425,MN1,274143,85014.98572,242.7818344,243.058028,-7.56,-1.906
202,Piani Eterni karst system,425,MN1,274144,85034.35728,243.8273391,243.1753947,-7.648,-2.443
202,Piani Eterni karst system,425,MN1,274145,85053.40483,247.8947808,244.8715686,-7.568,-2.489
202,Piani Eterni karst system,425,MN1,274146,85072.89083,247.6902566,243.980331,-7.54,-1.854
202,Piani Eterni karst system,425,MN1,274147,85092.73925,248.6125646,247.0788499,-7.666,-2.483
202,Piani Eterni karst system,425,MN1,274148,85111.03473,252.0135381,249.2800892,-7.73,-2.17
202,Piani Eterni karst system,425,MN1,274149,85129.10605,254.4755477,252.8307072,-7.777,-2.152
