sample_id,d18o_measurement,d18o_precision
65357,-7.49,0.08
65358,-7.4217,0.08
65359,-7.3232,0.08
65360,-7.2011,0.08
65361,-7.2122,0.08
65362,-7.043,0.08
65363,-7.0021,0.08
65364,-7.2734,0.08
65365,-7.5749,0.08
65366,-7.6004,0.08
65367,-7.628,0.08
65368,-7.7068,0.08
65369,-7.7018,0.08
65370,-7.6208,0.08
65371,-7.4209,0.08
65372,-7.2901,0.08
65373,-7.2466,0.08
65374,-7.2579,0.08
65375,-7.6977,0.08
65376,-7.8786,0.08
65377,-7.6067,0.08
65378,-7.553,0.08
65379,-7.6422,0.08
65380,-7.8451,0.08
65381,-7.7664,0.08
65382,-7.5333,0.08
65383,-7.2273,0.08
65384,-7.4707,0.08
65385,-7.3793,0.08
65386,-7.4244,0.08
65387,-7.3886,0.08
65388,-7.2624,0.08
65389,-7.0968,0.08
65390,-7.2006,0.08
65391,-7.4811,0.08
65392,-7.5108,0.08
65393,-7.5786,0.08
65394,-7.5297,0.08
65395,-7.7356,0.08
65396,-7.6988,0.08
65397,-7.5129,0.08
65398,-7.4201,0.08
65399,-7.2794,0.08
65400,-7.2612,0.08
65401,-7.1272,0.08
65402,-7.0594,0.08
65403,-7.084,0.08
65404,-7.1974,0.08
65405,-7.1583,0.08
65406,-7.1633,0.08
65407,-7.112,0.08
65408,-7.2308,0.08
65409,-7.2615,0.08
65410,-7.2618,0.08
65411,-7.3473,0.08
65412,-7.3899,0.08
65413,-7.4193,0.08
65414,-7.4675,0.08
65415,-7.4824,0.08
65416,-7.4031,0.08
65417,-7.3466,0.08
65418,-7.2916,0.08
65419,-7.2727,0.08
65420,-7.3839,0.08
65421,-7.6,0.08
65422,-7.5907,0.08
65423,-7.6839,0.08
65424,-7.6797,0.08
65425,-7.652,0.08
65426,-7.6747,0.08
65427,-7.5464,0.08
65428,-7.3863,0.08
65429,-7.2728,0.08
65430,-7.1931,0.08
65431,-7.2762,0.08
65432,-7.2984,0.08
65433,-7.2252,0.08
65434,-7.1473,0.08
65435,-7.079,0.08
65436,-7.0335,0.08
65437,-7.1588,0.08
65438,-7.2112,0.08
65439,-7.1609,0.08
65440,-7.1012,0.08
65441,-7.0835,0.08
65442,-7.1401,0.08
65443,-7.2666,0.08
65444,-7.3363,0.08
65445,-7.2544,0.08
65446,-7.2161,0.08
65447,-7.2875,0.08
65448,-7.3635,0.08
65449,-7.308,0.08
65450,-7.3798,0.08
65451,-7.3767,0.08
65452,-7.4674,0.08
65453,-7.3576,0.08
65454,-7.2155,0.08
65455,-7.2984,0.08
65456,-7.4471,0.08
65457,-7.6241,0.08
65458,-7.5572,0.08
65459,-7.3358,0.08
65460,-7.2762,0.08
65461,-7.2472,0.08
65462,-7.1691,0.08
65463,-7.1741,0.08
65464,-7.2177,0.08
65465,-7.1679,0.08
65466,-7.0667,0.08
65467,-6.9415,0.08
65468,-6.9342,0.08
65469,-7.0055,0.08
65470,-7.2171,0.08
65471,-7.2758,0.08
65472,-7.177,0.08
65473,-7.1652,0.08
65474,-7.1589,0.08
65475,-7.1022,0.08
65476,-7.0392,0.08
65477,-6.9892,0.08
65478,-7.1519,0.08
65479,-7.3768,0.08
65480,-7.1422,0.08
65481,-6.9076,0.08
65482,-6.9145,0.08
65483,-6.9944,0.08
65484,-7.0159,0.08
65485,-6.9207,0.08
65486,-6.9418,0.08
65487,-7.0856,0.08
65488,-7.2772,0.08
65489,-7.4041,0.08
65490,-7.3483,0.08
65491,-7.3932,0.08
65492,-7.4772,0.08
65493,-7.4676,0.08
65494,-7.3741,0.08
65495,-7.4143,0.08
65496,-7.5175,0.08
65497,-7.5894,0.08
65498,-7.3597,0.08
65499,-7.1795,0.08
65500,-7.3136,0.08
65501,-7.2947,0.08
65502,-7.1455,0.08
65503,-7.1839,0.08
65504,-7.2295,0.08
65505,-7.4977,0.08
65506,-7.6145,0.08
65507,-7.552,0.08
65508,-7.4392,0.08
65509,-7.1421,0.08
65510,-7.1734,0.08
65511,-7.217,0.08
65512,-7.1246,0.08
65513,-7.2605,0.08
65514,-7.4566,0.08
65515,-7.5493,0.08
65516,-7.6529,0.08
65517,-7.7421,0.08
65518,-7.7912,0.08
65519,-7.6187,0.08
65520,-7.3626,0.08
65521,-7.2224,0.08
65522,-7.015,0.08
65523,-6.9988,0.08
65524,-7.0855,0.08
65525,-7.0701,0.08
65526,-6.9933,0.08
65527,-7.0438,0.08
65528,-7.1743,0.08
65529,-7.3671,0.08
65530,-7.5009,0.08
65531,-7.4937,0.08
65532,-7.3599,0.08
65533,-7.3574,0.08
65534,-7.3326,0.08
65535,-7.3193,0.08
65536,-7.5245,0.08
65537,-7.7529,0.08
65538,-7.8262,0.08
65539,-7.5158,0.08
65540,-7.2004,0.08
65541,-7.2109,0.08
65542,-7.232,0.08
65543,-7.2145,0.08
65544,-7.2697,0.08
65545,-7.3233,0.08
65546,-7.3607,0.08
65547,-7.4647,0.08
65548,-7.6327,0.08
65549,-7.6819,0.08
65550,-7.6842,0.08
65551,-7.7291,0.08
65552,-7.7336,0.08
65553,-7.7302,0.08
65554,-7.7578,0.08
65555,-7.7883,0.08
65556,-7.6543,0.08
65557,-7.3943,0.08
65558,-7.2731,0.08
65559,-7.5456,0.08
65560,-7.6658,0.08
65561,-7.64,0.08
65562,-7.5737,0.08
65563,-7.4671,0.08
65564,-7.3788,0.08
65565,-7.2313,0.08
65566,-7.2502,0.08
65567,-7.2966,0.08
65568,-7.2936,0.08
65569,-7.3473,0.08
65570,-7.5125,0.08
65571,-7.4359,0.08
65572,-7.4292,0.08
65573,-7.4157,0.08
65574,-7.4852,0.08
65575,-7.7985,0.08
65576,-7.6901,0.08
65577,-7.3538,0.08
65578,-7.2116,0.08
65579,-7.0544,0.08
65580,-6.9875,0.08
65581,-7.0625,0.08
65582,-7.1507,0.08
65583,-7.3447,0.08
65584,-7.3554,0.08
65585,-7.3792,0.08
65586,-7.342,0.08
65587,-7.1938,0.08
65588,-6.9967,0.08
65589,-7.0634,0.08
65590,-7.1424,0.08
65591,-7.0403,0.08
65592,-7.1128,0.08
65593,-7.3616,0.08
65594,-7.3006,0.08
65595,-7.1418,0.08
65596,-7.0816,0.08
65597,-7.1481,0.08
65598,-6.8813,0.08
65599,-6.9076,0.08
65600,-6.9926,0.08
65601,-7.1325,0.08
65602,-7.2941,0.08
65603,-7.2487,0.08
65604,-7.2811,0.08
65605,-7.2865,0.08
65606,-7.0482,0.08
65607,-7.0525,0.08
65608,-7.0579,0.08
65609,-6.973,0.08
65610,-7.0269,0.08
65611,-7.23,0.08
65612,-7.2908,0.08
65613,-7.4813,0.08
65614,-7.4429,0.08
65615,-7.447,0.08
65616,-7.4067,0.08
65617,-7.3396,0.08
65618,-7.2808,0.08
65619,-7.2935,0.08
65620,-7.4004,0.08
65621,-7.4982,0.08
65622,-7.505,0.08
65623,-7.5443,0.08
65624,-7.5426,0.08
65625,-7.6229,0.08
65626,-7.587,0.08
65627,-7.5605,0.08
65628,-7.5733,0.08
65629,-7.5941,0.08
65630,-7.5779,0.08
65631,-7.5004,0.08
65632,-7.548,0.08
65633,-7.5796,0.08
65634,-7.5677,0.08
65635,-7.5406,0.08
65636,-7.5336,0.08
65637,-7.5959,0.08
65638,-7.573,0.08
65639,-7.6019,0.08
65640,-7.6102,0.08
65641,-7.7438,0.08
65642,-7.7783,0.08
65643,-7.7349,0.08
65644,-7.6704,0.08
65645,-7.7289,0.08
65646,-7.6763,0.08
65647,-7.7322,0.08
65648,-7.8396,0.08
65649,-7.648,0.08
65650,-7.6062,0.08
65651,-7.6429,0.08
65652,-7.696,0.08
65653,-7.4386,0.08
65654,-7.66,0.08
65655,-7.5148,0.08
65656,-7.3047,0.08
65657,-7.637,0.08
65658,-7.9166,0.08
65659,-7.8406,0.08
65660,-8.068,0.08
65661,-8.0434,0.08
