dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,c14_correction,calib_used,date_used,u238_content,u238_uncertainty,th232_content,th232_uncertainty,th230_content,th230_uncertainty,th230_th232_ratio,th230_th232_ratio_uncertainty,th230_u238_activity,th230_u238_activity_uncertainty,u234_u238_activity,u234_u238_activity_uncertainty,ini_230th_232th_ratio,ini_230th_232th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_bchron,date_used_bacon,date_used_oxcal,date_used_copra,date_used_stalage
939,55,U/Th unspecified,4.9,1.3,,unknown,100,150,5600,46,46,,,yes,1013,5,184,5,,,5300,134,0.05854,0.00038,1.167,0.005,,,Cheng et al. 2000,5531,46,46,yes,,yes,yes,yes,yes,yes
940,55,U/Th unspecified,37.7,0.9,,unknown,100,150,5796,18,18,,,yes,3778,9,307,6,,,12500,256,0.0615187677896,0.000167135004934,1.1869,0.0017,,,Cheng et al. 2000,5730,18,18,yes,,yes,yes,yes,yes,yes
941,55,U/Th unspecified,73.4,1.8,,unknown,100,150,6046,17,17,,,yes,6525,15,107,2,,,64086,1492,0.0640237714753,0.000163951547735,1.1854,0.0015,,,Cheng et al. 2000,5982,18,18,yes,,yes,yes,yes,yes,yes
942,55,U/Th unspecified,101.2,1.5,,unknown,100,150,6569,24,24,,,yes,7160,21,398,8,,,21162,434,0.0715060138324,0.000234553082205,1.2209,0.0017,,,Cheng et al. 2000,6504,24,24,yes,,yes,yes,yes,yes,yes
943,55,U/Th unspecified,121.6,1.5,,unknown,100,150,6753,22,22,,,yes,4062,10,468,9,,,10368,210,0.0724612447347,0.000212611105811,1.2047,0.0017,,,Cheng et al. 2000,6686,23,23,yes,,yes,yes,yes,yes,yes
944,55,U/Th unspecified,139.8,1.5,,unknown,100,150,6889,30,30,,,yes,6899,25,238,5,,,34516,720,0.0721591171423,0.000286575187059,1.1769,0.002,,,Cheng et al. 2000,6825,31,31,yes,,yes,yes,yes,yes,yes
945,55,U/Th unspecified,175.6,1.5,,unknown,100,150,7092,27,27,,,yes,6810,21,191,4,,,44296,929,0.0754941255689,0.000260249902875,1.1969,0.0018,,,Cheng et al. 2000,7027,27,27,yes,,yes,yes,yes,yes,yes
946,55,U/Th unspecified,188.9,1.5,,unknown,100,150,7135,29,29,,,yes,2426,7,109,3,,,27945,817,0.0765,0.0003,1.2053,0.002,,,Cheng et al. 2000,7069,29,29,yes,,yes,yes,yes,yes,yes
947,55,U/Th unspecified,203.8,1.5,,unknown,100,150,8038,23,23,,,yes,4101,9,212,4,,,26741,551,0.0838685614316,0.000211791000916,1.1781,0.0015,,,Cheng et al. 2000,7974,24,24,yes,,yes,yes,yes,yes,yes
948,55,U/Th unspecified,324.3,1.5,,unknown,100,150,8604,31,31,,,yes,2195,5,732,15,,,4600,93,0.0931,0.0003,1.2242,0.0022,,,Cheng et al. 2000,8532,32,32,yes,,yes,yes,yes,yes,yes
