site_id,entity_id,entity_name,entity_status,corresponding_current,persist_id,depth_ref,geology,rock_age,wokam,vegetation_type,land_use,copernicus_lcc,cover_type,cover_thickness,host_rock_trace_elements,drip_water_trace_elements,distance_entrance,speleothem_type,drip_type,drip_height,d13c,d18o,iso_std,d18o_water_equilibrium,d18o_dripwater_carbonate_difference,organics,fluid_inclusions,mineralogy_petrology_fabric,clumped_isotopes,noble_gas_temperatures,c14,odl,sr_ca,sr_ca_method,sr_ca_std,sr_ca_downsampled,sr_ca_downsampling_method,mg_ca,mg_ca_method,mg_ca_std,mg_ca_downsampled,mg_ca_downsampling_method,ba_ca,ba_ca_method,ba_ca_std,ba_ca_downsampled,ba_ca_downsampling_method,u_ca,u_ca_method,u_ca_std,u_ca_downsampled,u_ca_downsampling_method,p_ca,p_ca_method,p_ca_std,p_ca_downsampled,p_ca_downsampling_method,sr_isotopes,sr_isotopes_method,sr_isotopes_std,trace_elements_datafile,trace_elements_metadatafile,cave_map,entity_scan,contact,data_doi_url
10,55,JAR7,current,,10-JAR7,from top,dolomite,unknown,continuous carbonate,deciduous,forest,"closed forest, other",patchy,,no,yes,300,stalagmite,seasonal drip,10,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,yes,yes,Valdir Felipe Novello,10.1594/PANGAEA.878256; 10.1594/PANGAEA.905143
10,56,JAR14,current,,10-JAR14,from top,dolomite,unknown,continuous carbonate,deciduous,forest,"closed forest, other",patchy,,no,yes,300,stalagmite,seasonal drip,10,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,yes,yes,Valdir Felipe Novello,10.1594/PANGAEA.878256; 10.1594/PANGAEA.905143
10,57,JAR13,current,,10-JAR13,from top,dolomite,unknown,continuous carbonate,deciduous,forest,"closed forest, other",patchy,,no,yes,300,stalagmite,seasonal drip,10,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,yes,yes,Valdir Felipe Novello,10.1594/PANGAEA.878256; 10.1594/PANGAEA.905144
24,91,LSF16,current,,24-LSF16,from top,limestone,Precambrian,discontinuous carbonate,deciduous,mixed (see notes),herbaceous vegetation,patchy,20,no,no,,stalagmite,unknown,3,yes,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,yes,unknown,SrCO3 (NIST SRM 987),no,no,no,no,Nicolás M. Stríkis; Vitor Azevedo,
24,92,LSF3_2015,current partially modified,604,24-LSF3,from top,limestone,Precambrian,discontinuous carbonate,deciduous,mixed (see notes),herbaceous vegetation,patchy,20,no,no,,stalagmite,unknown,3,no,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,Nicolás M. Stríkis; Vitor Azevedo,
39,114,D3,current partially modified,700,39-D3,from top,limestone,Pleistocene,continuous carbonate,unknown,unknown,"closed forest, evergreen broad leaf",unknown,100,unknown,unknown,300,stalagmite,unknown,,no,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,Jun Hu,
39,115,D4_2004,current partially modified,446; 701,39-D4,from top,limestone,Pleistocene,continuous carbonate,unknown,unknown,"closed forest, evergreen broad leaf",unknown,100,unknown,unknown,500,stalagmite,unknown,,no,yes,Vienna-PDB,yes,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,Jun Hu,
58,138,SPA12,current,,58-SPA12,from top,marble,Jurassic,continuous carbonate,other (see notes),other (see notes),bare / sparse vegetation,patchy,,,,,stalagmite,unknown,,no,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,Jens Fohlmeister,
58,139,SPA70,current,,58-SPA70,from top,marble,Jurassic,continuous carbonate,other (see notes),other (see notes),bare / sparse vegetation,patchy,,,,,stalagmite,unknown,,no,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,Jens Fohlmeister,
58,140,SPA128,current,,58-SPA128,from top,marble,Jurassic,continuous carbonate,other (see notes),other (see notes),bare / sparse vegetation,patchy,,,,,stalagmite,unknown,,no,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,Jens Fohlmeister,
