entity_id,ref_id
55,23
55,466
56,23
56,466
57,23
57,466
91,45
91,467
92,45
114,112
115,112
138,77
139,77
140,77
141,77
142,77
154,77
253,150
254,151
261,155
263,157
264,157
265,157
266,157
267,157
268,157
269,157
270,157
295,175
296,175
297,175
298,175
299,175
300,175
301,176
302,176
303,176
304,176
311,181
312,182
313,183
314,184
315,185
316,186
317,186
318,186
324,176
425,276
426,276
427,276
442,289
446,303
447,23
447,279
447,466
448,23
448,279
448,466
449,23
449,279
475,269
482,332
483,332
484,332
485,332
486,332
487,332
488,332
489,332
490,332
491,332
492,332
493,332
494,332
583,388
584,388
585,388
586,388
587,388
597,409
598,409
599,410
600,410
601,410
602,410
603,347
603,467
604,347
604,467
605,347
606,347
607,347
665,430
666,430
667,430
668,430
669,430
670,431
694,458
695,459
696,459
700,462
701,462
707,466
708,347
709,467
710,467
711,464
729,476
730,476
731,476
732,77
732,477
846,514
