sample_id,mg_ca_measurement,mg_ca_precision
414966,33.60858,
414967,27.25904,
414968,27.38641,
414969,30.00156,
414970,29.04454,
414971,24.85224,
414972,26.56381,
414973,27.10684,
414974,30.83792,
414975,28.52569,
414976,30.85672,
414977,25.50702,
414978,27.69136,
414979,26.88367,
414980,28.59429,
414981,27.91506,
414982,30.52731,
414983,35.59592,
414984,30.73664,
414985,38.79801,
414986,33.48933,
414987,30.54268,
414988,30.65812,
414989,32.06438,
414990,29.66079,
414991,30.79663,
414992,30.06048,
414993,33.07466,
414994,29.47127,
414995,24.02478,
414996,28.93619,
414997,23.82874,
414998,21.09963,
414999,33.01579,
415000,20.67016,
415001,35.54248,
415002,30.55532,
415003,35.71622,
415004,25.12611,
415005,29.3754,
415006,36.27848,
415007,33.35008,
415008,34.59344,
415009,28.79635,
415010,34.27417,
415011,35.41822,
415012,30.18547,
415013,34.18064,
415014,36.57167,
415015,42.10485,
415016,31.63796,
415017,33.33832,
415018,29.45663,
415019,31.37282,
415020,29.51145,
415021,40.16955,
415022,39.62774,
415023,31.67826,
415024,28.81611,
415025,29.5828,
415026,42.07411,
415027,37.7867,
415028,34.7024,
415029,23.73434,
415030,35.20292,
415031,35.49616,
415032,38.41569,
415033,41.68622,
415034,32.756,
415035,35.51118,
415036,27.96212,
415037,35.72232,
415038,27.70542,
415039,44.90313,
415040,50.49032,
415041,33.51283,
415042,34.10902,
415043,32.37914,
415044,29.16141,
415045,28.26582,
415046,31.50448,
415047,36.23164,
415048,25.19298,
415049,34.95967,
415050,36.96299,
415051,36.68533,
415052,23.18716,
415053,36.99799,
415054,29.51758,
415055,32.95893,
415056,30.65135,
415057,30.61196,
415058,31.22925,
415059,36.05635,
415060,30.40318,
415061,36.71588,
415062,34.45109,
415063,32.68649,
415064,42.67022,
415065,33.6119,
415066,33.08811,
415067,33.98954,
415068,33.10516,
415069,31.31229,
415070,30.13218,
415071,21.8308,
415072,32.68975,
415073,32.72708,
415074,37.23125,
415075,38.49162,
415076,35.44082,
415077,37.33479,
415078,30.67373,
415079,29.57366,
415080,30.23952,
415081,28.9047,
415082,28.85207,
415083,30.53765,
415084,26.98221,
415085,28.54193,
415086,26.66977,
415087,30.31562,
415088,30.04068,
415089,27.18167,
415090,24.79455,
415091,30.4263,
415092,25.54033,
415093,21.93046,
415094,22.26797,
415095,21.25642,
415096,28.17947,
415097,24.24018,
415098,19.86226,
415099,28.99737,
415100,23.27282,
415101,24.33862,
415102,24.50814,
415103,30.07971,
415104,21.32978,
415105,24.06231,
415106,24.41023,
415107,21.59329,
415108,23.61557,
415109,25.9348,
415110,22.88204,
415111,25.02852,
415112,22.18756,
415113,20.97981,
415114,21.05194,
415115,26.10201,
415116,23.71111,
415117,22.50085,
415118,26.22493,
415119,25.65555,
415120,25.32822,
415121,26.5942,
415122,32.08598,
415123,23.37991,
415124,27.71026,
415125,25.43659,
415126,26.71867,
415127,25.75713,
415128,30.15136,
415129,26.11133,
415130,24.49846,
415131,28.73561,
415132,23.12226,
415133,24.69368,
415134,24.23077,
415135,28.62316,
415136,29.52878,
415137,27.63702,
415138,22.33864,
415139,25.67546,
415140,27.97312,
415141,25.98271,
415142,23.74661,
415143,31.34548,
415144,33.83401,
415145,30.65784,
415146,37.29011,
415147,36.88079,
415148,31.18218,
415149,31.45752,
415150,32.22221,
415151,33.55202,
