sample_id,interp_age,interp_age_uncert_pos,interp_age_uncert_neg,age_model_type,ann_lam_check,dep_rate_check
65357,-13,,,other (see notes),not applicable,not applicable
65358,-10.4,,,other (see notes),not applicable,not applicable
65359,-5.3,,,other (see notes),not applicable,not applicable
65360,-2.8,,,other (see notes),not applicable,not applicable
65361,-0.2,,,other (see notes),not applicable,not applicable
65362,2.3,,,other (see notes),not applicable,not applicable
65363,4.9,,,other (see notes),not applicable,not applicable
65364,7.4,,,other (see notes),not applicable,not applicable
65365,10,,,other (see notes),not applicable,not applicable
65366,12.6,,,other (see notes),not applicable,not applicable
65367,15.1,,,other (see notes),not applicable,not applicable
65368,17.7,,,other (see notes),not applicable,not applicable
65369,20.2,,,other (see notes),not applicable,not applicable
65370,22.8,,,other (see notes),not applicable,not applicable
65371,25.3,,,other (see notes),not applicable,not applicable
65372,27.9,,,other (see notes),not applicable,not applicable
65373,30.4,,,other (see notes),not applicable,not applicable
65374,33,,,other (see notes),not applicable,not applicable
65375,35.5,,,other (see notes),not applicable,not applicable
65376,38.1,,,other (see notes),not applicable,not applicable
65377,40.6,,,other (see notes),not applicable,not applicable
65378,43.2,,,other (see notes),not applicable,not applicable
65379,45.8,,,other (see notes),not applicable,not applicable
65380,48.3,,,other (see notes),not applicable,not applicable
65381,50.9,,,other (see notes),not applicable,not applicable
65382,53.4,,,other (see notes),not applicable,not applicable
65383,56,,,other (see notes),not applicable,not applicable
65384,58.5,,,other (see notes),not applicable,not applicable
65385,61.1,,,other (see notes),not applicable,not applicable
65386,63.6,,,other (see notes),not applicable,not applicable
65387,66.2,,,other (see notes),not applicable,not applicable
65388,68.7,,,other (see notes),not applicable,not applicable
65389,71.3,,,other (see notes),not applicable,not applicable
65390,73.8,,,other (see notes),not applicable,not applicable
65391,76.4,,,other (see notes),not applicable,not applicable
65392,79,,,other (see notes),not applicable,not applicable
65393,81.5,,,other (see notes),not applicable,not applicable
65394,84.1,,,other (see notes),not applicable,not applicable
65395,86.6,,,other (see notes),not applicable,not applicable
65396,89.2,,,other (see notes),not applicable,not applicable
65397,91.7,,,other (see notes),not applicable,not applicable
65398,94.3,,,other (see notes),not applicable,not applicable
65399,96.8,,,other (see notes),not applicable,not applicable
65400,99.4,,,other (see notes),not applicable,not applicable
65401,101.9,,,other (see notes),not applicable,not applicable
65402,104.5,,,other (see notes),not applicable,not applicable
65403,107,,,other (see notes),not applicable,not applicable
65404,109.6,,,other (see notes),not applicable,not applicable
65405,112.2,,,other (see notes),not applicable,not applicable
65406,114.7,,,other (see notes),not applicable,not applicable
65407,117.3,,,other (see notes),not applicable,not applicable
65408,119.8,,,other (see notes),not applicable,not applicable
65409,122.4,,,other (see notes),not applicable,not applicable
65410,124.9,,,other (see notes),not applicable,not applicable
65411,127.5,,,other (see notes),not applicable,not applicable
65412,130,,,other (see notes),not applicable,not applicable
65413,132.6,,,other (see notes),not applicable,not applicable
65414,135.1,,,other (see notes),not applicable,not applicable
65415,137.7,,,other (see notes),not applicable,not applicable
65416,140.2,,,other (see notes),not applicable,not applicable
65417,142.8,,,other (see notes),not applicable,not applicable
65418,145.4,,,other (see notes),not applicable,not applicable
65419,147.9,,,other (see notes),not applicable,not applicable
65420,150.5,,,other (see notes),not applicable,not applicable
65421,153,,,other (see notes),not applicable,not applicable
65422,155.6,,,other (see notes),not applicable,not applicable
65423,158.1,,,other (see notes),not applicable,not applicable
65424,160.7,,,other (see notes),not applicable,not applicable
65425,163.2,,,other (see notes),not applicable,not applicable
65426,165.8,,,other (see notes),not applicable,not applicable
65427,168.3,,,other (see notes),not applicable,not applicable
65428,170.9,,,other (see notes),not applicable,not applicable
65429,173.4,,,other (see notes),not applicable,not applicable
65430,176,,,other (see notes),not applicable,not applicable
65431,177.6,,,other (see notes),not applicable,not applicable
65432,179.2,,,other (see notes),not applicable,not applicable
65433,180.8,,,other (see notes),not applicable,not applicable
65434,182.4,,,other (see notes),not applicable,not applicable
65435,184,,,other (see notes),not applicable,not applicable
65436,185.6,,,other (see notes),not applicable,not applicable
65437,188.8,,,other (see notes),not applicable,not applicable
65438,190.4,,,other (see notes),not applicable,not applicable
65439,192,,,other (see notes),not applicable,not applicable
65440,193.6,,,other (see notes),not applicable,not applicable
65441,195.2,,,other (see notes),not applicable,not applicable
65442,196.8,,,other (see notes),not applicable,not applicable
65443,198.4,,,other (see notes),not applicable,not applicable
65444,200,,,other (see notes),not applicable,not applicable
65445,201.6,,,other (see notes),not applicable,not applicable
65446,203.2,,,other (see notes),not applicable,not applicable
65447,204.8,,,other (see notes),not applicable,not applicable
65448,206.4,,,other (see notes),not applicable,not applicable
65449,208,,,other (see notes),not applicable,not applicable
65450,209.6,,,other (see notes),not applicable,not applicable
65451,211.2,,,other (see notes),not applicable,not applicable
65452,212.8,,,other (see notes),not applicable,not applicable
65453,214.4,,,other (see notes),not applicable,not applicable
65454,216,,,other (see notes),not applicable,not applicable
65455,217.6,,,other (see notes),not applicable,not applicable
65456,219.2,,,other (see notes),not applicable,not applicable
65457,220.8,,,other (see notes),not applicable,not applicable
65458,222.4,,,other (see notes),not applicable,not applicable
65459,224,,,other (see notes),not applicable,not applicable
65460,225.6,,,other (see notes),not applicable,not applicable
65461,227.2,,,other (see notes),not applicable,not applicable
65462,228.8,,,other (see notes),not applicable,not applicable
65463,230.4,,,other (see notes),not applicable,not applicable
65464,232,,,other (see notes),not applicable,not applicable
65465,233.6,,,other (see notes),not applicable,not applicable
65466,235.2,,,other (see notes),not applicable,not applicable
65467,236.8,,,other (see notes),not applicable,not applicable
65468,238.4,,,other (see notes),not applicable,not applicable
65469,240,,,other (see notes),not applicable,not applicable
65470,241.6,,,other (see notes),not applicable,not applicable
65471,243.2,,,other (see notes),not applicable,not applicable
65472,244.8,,,other (see notes),not applicable,not applicable
65473,246.4,,,other (see notes),not applicable,not applicable
65474,248,,,other (see notes),not applicable,not applicable
65475,249.6,,,other (see notes),not applicable,not applicable
65476,251.2,,,other (see notes),not applicable,not applicable
65477,252.8,,,other (see notes),not applicable,not applicable
65478,254.4,,,other (see notes),not applicable,not applicable
65479,256,,,other (see notes),not applicable,not applicable
65480,257.6,,,other (see notes),not applicable,not applicable
65481,259.2,,,other (see notes),not applicable,not applicable
65482,260.8,,,other (see notes),not applicable,not applicable
65483,262.4,,,other (see notes),not applicable,not applicable
65484,264,,,other (see notes),not applicable,not applicable
65485,265.6,,,other (see notes),not applicable,not applicable
65486,267.2,,,other (see notes),not applicable,not applicable
65487,268.8,,,other (see notes),not applicable,not applicable
65488,270.4,,,other (see notes),not applicable,not applicable
65489,272,,,other (see notes),not applicable,not applicable
65490,273.6,,,other (see notes),not applicable,not applicable
65491,275.2,,,other (see notes),not applicable,not applicable
65492,276.8,,,other (see notes),not applicable,not applicable
65493,278.4,,,other (see notes),not applicable,not applicable
65494,280,,,other (see notes),not applicable,not applicable
65495,281.6,,,other (see notes),not applicable,not applicable
65496,283.2,,,other (see notes),not applicable,not applicable
65497,284.8,,,other (see notes),not applicable,not applicable
65498,286.4,,,other (see notes),not applicable,not applicable
65499,288,,,other (see notes),not applicable,not applicable
65500,289.6,,,other (see notes),not applicable,not applicable
65501,291.2,,,other (see notes),not applicable,not applicable
65502,292.8,,,other (see notes),not applicable,not applicable
65503,294.4,,,other (see notes),not applicable,not applicable
65504,296,,,other (see notes),not applicable,not applicable
65505,297.6,,,other (see notes),not applicable,not applicable
65506,299.2,,,other (see notes),not applicable,not applicable
65507,300.8,,,other (see notes),not applicable,not applicable
65508,302.4,,,other (see notes),not applicable,not applicable
65509,304,,,other (see notes),not applicable,not applicable
65510,305.6,,,other (see notes),not applicable,not applicable
65511,307.2,,,other (see notes),not applicable,not applicable
65512,308.8,,,other (see notes),not applicable,not applicable
65513,310.4,,,other (see notes),not applicable,not applicable
65514,312,,,other (see notes),not applicable,not applicable
65515,313.6,,,other (see notes),not applicable,not applicable
65516,315.2,,,other (see notes),not applicable,not applicable
65517,316.8,,,other (see notes),not applicable,not applicable
65518,318.4,,,other (see notes),not applicable,not applicable
65519,320,,,other (see notes),not applicable,not applicable
65520,321.6,,,other (see notes),not applicable,not applicable
65521,323.2,,,other (see notes),not applicable,not applicable
65522,324.8,,,other (see notes),not applicable,not applicable
65523,326.4,,,other (see notes),not applicable,not applicable
65524,328,,,other (see notes),not applicable,not applicable
65525,330.4,,,other (see notes),not applicable,not applicable
65526,332.7,,,other (see notes),not applicable,not applicable
65527,335.1,,,other (see notes),not applicable,not applicable
65528,337.5,,,other (see notes),not applicable,not applicable
65529,339.9,,,other (see notes),not applicable,not applicable
65530,342.2,,,other (see notes),not applicable,not applicable
65531,344.6,,,other (see notes),not applicable,not applicable
65532,347,,,other (see notes),not applicable,not applicable
65533,349.3,,,other (see notes),not applicable,not applicable
65534,351.7,,,other (see notes),not applicable,not applicable
65535,354.1,,,other (see notes),not applicable,not applicable
65536,356.5,,,other (see notes),not applicable,not applicable
65537,358.8,,,other (see notes),not applicable,not applicable
65538,361.2,,,other (see notes),not applicable,not applicable
65539,363.6,,,other (see notes),not applicable,not applicable
65540,365.9,,,other (see notes),not applicable,not applicable
65541,368.3,,,other (see notes),not applicable,not applicable
65542,370.7,,,other (see notes),not applicable,not applicable
65543,373.1,,,other (see notes),not applicable,not applicable
65544,375.4,,,other (see notes),not applicable,not applicable
65545,377.8,,,other (see notes),not applicable,not applicable
65546,380.2,,,other (see notes),not applicable,not applicable
65547,382.5,,,other (see notes),not applicable,not applicable
65548,384.9,,,other (see notes),not applicable,not applicable
65549,387.3,,,other (see notes),not applicable,not applicable
65550,389.7,,,other (see notes),not applicable,not applicable
65551,392,,,other (see notes),not applicable,not applicable
65552,394.4,,,other (see notes),not applicable,not applicable
65553,396.8,,,other (see notes),not applicable,not applicable
65554,399.1,,,other (see notes),not applicable,not applicable
65555,401.5,,,other (see notes),not applicable,not applicable
65556,403.9,,,other (see notes),not applicable,not applicable
65557,406.3,,,other (see notes),not applicable,not applicable
65558,408.6,,,other (see notes),not applicable,not applicable
65559,411,,,other (see notes),not applicable,not applicable
65560,413.4,,,other (see notes),not applicable,not applicable
65561,415.7,,,other (see notes),not applicable,not applicable
65562,418.1,,,other (see notes),not applicable,not applicable
65563,420.5,,,other (see notes),not applicable,not applicable
65564,422.9,,,other (see notes),not applicable,not applicable
65565,425.2,,,other (see notes),not applicable,not applicable
65566,427.6,,,other (see notes),not applicable,not applicable
65567,430,,,other (see notes),not applicable,not applicable
65568,432.3,,,other (see notes),not applicable,not applicable
65569,434.7,,,other (see notes),not applicable,not applicable
65570,437.1,,,other (see notes),not applicable,not applicable
65571,439.5,,,other (see notes),not applicable,not applicable
65572,441.8,,,other (see notes),not applicable,not applicable
65573,444.2,,,other (see notes),not applicable,not applicable
65574,446.6,,,other (see notes),not applicable,not applicable
65575,451.3,,,other (see notes),not applicable,not applicable
65576,453.7,,,other (see notes),not applicable,not applicable
65577,456.1,,,other (see notes),not applicable,not applicable
65578,458.4,,,other (see notes),not applicable,not applicable
65579,460.8,,,other (see notes),not applicable,not applicable
65580,463.2,,,other (see notes),not applicable,not applicable
65581,465.5,,,other (see notes),not applicable,not applicable
65582,467.9,,,other (see notes),not applicable,not applicable
65583,470.3,,,other (see notes),not applicable,not applicable
65584,472.7,,,other (see notes),not applicable,not applicable
65585,475,,,other (see notes),not applicable,not applicable
65586,477.4,,,other (see notes),not applicable,not applicable
65587,479.8,,,other (see notes),not applicable,not applicable
65588,482.1,,,other (see notes),not applicable,not applicable
65589,484.5,,,other (see notes),not applicable,not applicable
65590,486.9,,,other (see notes),not applicable,not applicable
65591,489.3,,,other (see notes),not applicable,not applicable
65592,491.6,,,other (see notes),not applicable,not applicable
65593,494,,,other (see notes),not applicable,not applicable
65594,497.4,,,other (see notes),not applicable,not applicable
65595,500.8,,,other (see notes),not applicable,not applicable
65596,504.2,,,other (see notes),not applicable,not applicable
65597,507.5,,,other (see notes),not applicable,not applicable
65598,510.9,,,other (see notes),not applicable,not applicable
65599,514.3,,,other (see notes),not applicable,not applicable
65600,517.7,,,other (see notes),not applicable,not applicable
65601,521.1,,,other (see notes),not applicable,not applicable
65602,524.5,,,other (see notes),not applicable,not applicable
65603,527.8,,,other (see notes),not applicable,not applicable
65604,531.2,,,other (see notes),not applicable,not applicable
65605,534.6,,,other (see notes),not applicable,not applicable
65606,538,,,other (see notes),not applicable,not applicable
65607,541.4,,,other (see notes),not applicable,not applicable
65608,544.8,,,other (see notes),not applicable,not applicable
65609,548.1,,,other (see notes),not applicable,not applicable
65610,551.5,,,other (see notes),not applicable,not applicable
65611,554.9,,,other (see notes),not applicable,not applicable
65612,558.3,,,other (see notes),not applicable,not applicable
65613,561.7,,,other (see notes),not applicable,not applicable
65614,565.1,,,other (see notes),not applicable,not applicable
65615,568.4,,,other (see notes),not applicable,not applicable
65616,571.8,,,other (see notes),not applicable,not applicable
65617,575.2,,,other (see notes),not applicable,not applicable
65618,578.6,,,other (see notes),not applicable,not applicable
65619,582,,,other (see notes),not applicable,not applicable
65620,585.3,,,other (see notes),not applicable,not applicable
65621,588.7,,,other (see notes),not applicable,not applicable
65622,592.1,,,other (see notes),not applicable,not applicable
65623,595.5,,,other (see notes),not applicable,not applicable
65624,598.9,,,other (see notes),not applicable,not applicable
65625,602.3,,,other (see notes),not applicable,not applicable
65626,605.7,,,other (see notes),not applicable,not applicable
65627,609,,,other (see notes),not applicable,not applicable
65628,612.4,,,other (see notes),not applicable,not applicable
65629,615.8,,,other (see notes),not applicable,not applicable
65630,619.2,,,other (see notes),not applicable,not applicable
65631,622.6,,,other (see notes),not applicable,not applicable
65632,625.9,,,other (see notes),not applicable,not applicable
65633,629.3,,,other (see notes),not applicable,not applicable
65634,632.7,,,other (see notes),not applicable,not applicable
65635,636.1,,,other (see notes),not applicable,not applicable
65636,639.5,,,other (see notes),not applicable,not applicable
65637,642.9,,,other (see notes),not applicable,not applicable
65638,646.3,,,other (see notes),not applicable,not applicable
65639,649.6,,,other (see notes),not applicable,not applicable
65640,653,,,other (see notes),not applicable,not applicable
65641,656.4,,,other (see notes),not applicable,not applicable
65642,659.8,,,other (see notes),not applicable,not applicable
65643,663.2,,,other (see notes),not applicable,not applicable
65644,666.6,,,other (see notes),not applicable,not applicable
65645,669.9,,,other (see notes),not applicable,not applicable
65646,673.3,,,other (see notes),not applicable,not applicable
65647,676.7,,,other (see notes),not applicable,not applicable
65648,680.1,,,other (see notes),not applicable,not applicable
65649,683.5,,,other (see notes),not applicable,not applicable
65650,686.9,,,other (see notes),not applicable,not applicable
65651,690.2,,,other (see notes),not applicable,not applicable
65652,693.6,,,other (see notes),not applicable,not applicable
65653,697,,,other (see notes),not applicable,not applicable
65654,701.3,,,other (see notes),not applicable,not applicable
65655,705.6,,,other (see notes),not applicable,not applicable
65656,709.8,,,other (see notes),not applicable,not applicable
65657,714.1,,,other (see notes),not applicable,not applicable
65658,718.4,,,other (see notes),not applicable,not applicable
65659,722.7,,,other (see notes),not applicable,not applicable
65660,727,,,other (see notes),not applicable,not applicable
65661,731.2,,,other (see notes),not applicable,not applicable
65662,735.5,,,other (see notes),not applicable,not applicable
65663,739.8,,,other (see notes),not applicable,not applicable
65664,744.1,,,other (see notes),not applicable,not applicable
65665,748.4,,,other (see notes),not applicable,not applicable
65666,752.6,,,other (see notes),not applicable,not applicable
65667,756.9,,,other (see notes),not applicable,not applicable
65668,761.2,,,other (see notes),not applicable,not applicable
65669,765.5,,,other (see notes),not applicable,not applicable
65670,769.8,,,other (see notes),not applicable,not applicable
65671,774,,,other (see notes),not applicable,not applicable
65672,778.3,,,other (see notes),not applicable,not applicable
65673,782.6,,,other (see notes),not applicable,not applicable
65674,786.9,,,other (see notes),not applicable,not applicable
65675,791.2,,,other (see notes),not applicable,not applicable
65676,795.4,,,other (see notes),not applicable,not applicable
65677,799.7,,,other (see notes),not applicable,not applicable
65678,804,,,other (see notes),not applicable,not applicable
65679,808.3,,,other (see notes),not applicable,not applicable
65680,812.6,,,other (see notes),not applicable,not applicable
65681,816.8,,,other (see notes),not applicable,not applicable
65682,821.1,,,other (see notes),not applicable,not applicable
65683,825.4,,,other (see notes),not applicable,not applicable
65684,829.7,,,other (see notes),not applicable,not applicable
65685,834,,,other (see notes),not applicable,not applicable
65686,838.2,,,other (see notes),not applicable,not applicable
65687,842.5,,,other (see notes),not applicable,not applicable
65688,846.8,,,other (see notes),not applicable,not applicable
65689,851.1,,,other (see notes),not applicable,not applicable
65690,855.4,,,other (see notes),not applicable,not applicable
65691,859.6,,,other (see notes),not applicable,not applicable
65692,863.9,,,other (see notes),not applicable,not applicable
65693,868.2,,,other (see notes),not applicable,not applicable
65694,872.5,,,other (see notes),not applicable,not applicable
65695,876.8,,,other (see notes),not applicable,not applicable
65696,881,,,other (see notes),not applicable,not applicable
65697,885.3,,,other (see notes),not applicable,not applicable
65698,889.6,,,other (see notes),not applicable,not applicable
65699,893.9,,,other (see notes),not applicable,not applicable
65700,898.2,,,other (see notes),not applicable,not applicable
65701,902.4,,,other (see notes),not applicable,not applicable
65702,906.7,,,other (see notes),not applicable,not applicable
65703,911,,,other (see notes),not applicable,not applicable
65704,915.3,,,other (see notes),not applicable,not applicable
65705,919.6,,,other (see notes),not applicable,not applicable
65706,923.8,,,other (see notes),not applicable,not applicable
65707,928.1,,,other (see notes),not applicable,not applicable
65708,932.4,,,other (see notes),not applicable,not applicable
