ref_id,citation,publication_doi
23,"Novello, V. F., Cruz, F. W., Vuille, M., Stríkis, N. M., Edwards, R. L., Cheng, H., Emerick, S., de Paula, M. S., Li, X., Barreto, E. de S., Karmann, I. and Santos, R. V: A high-resolution history of the South American Monsoon from Last Glacial Maximum to the Holocene, Sci. Rep., 7, 44267, 2017.",10.1038/srep44267
45,"Stríkis, N. M., Chiessi, C. M., Cruz, F. W., Vuille, M., Cheng, H., de Souza Barreto, E. A., Mollenhauer, G., Kasten, S., Karmann, I., Edwards, R. L., Bernal, J. P. and Sales, H. dos R.: Timing and structure of Mega-SACZ events during Heinrich Stadial 1, Geophys. Res. Lett., 42(13), 5477–5484A, 2015.",10.1002/2015gl064048
77,"Fohlmeister, J., Vollweiler, N., Spötl, C. and Mangini, A.: COMNISPA II: Update of a mid-European isotope climate record, 11 ka to present, The Holocene, 23(5), 749–754, 2013.",10.1177/0959683612465446
112,"Yuan, D.: Timing, Duration, and Transitions of the Last Interglacial Asian Monsoon, Science, 304(5670), 575–578, 2004.",10.1126/science.1091220
150,"Hu, C., Henderson, G. M., Huang, J., Xie, S., Sun, Y. and Johnson, K. R.: Quantification of Holocene Asian monsoon rainfall from spatially separated cave records, Earth Planet. Sci. Lett., 266(3–4), 221–232, 2008.",10.1016/j.epsl.2007.10.015
151,"Liu, Y.-H., Henderson, G. M., Hu, C.-Y., Mason, A. J., Charnley, N., Johnson, K. R. and Xie, S.-C.: Links between the East Asian monsoon and North Atlantic climate during the 8,200 year event, Nat. Geosci., 6(2), 117–120, 2013.",10.1038/ngeo1708
155,"Spötl, C., Scholz, D. and Mangini, A.: A terrestrial U/Th-dated stable isotope record of the Penultimate Interglacial, Earth Planet. Sci. Lett., 276(3–4), 283–292, 2008.",10.1016/j.epsl.2008.09.029
157,"Cai, Y., Fung, I. Y., Edwards, R. L., An, Z., Cheng, H., Lee, J.-E., Tan, L., Shen, C.-C., Wang, X., Day, J. A., Zhou, W., Kelly, M. J. and Chiang, J. C. H.: Variability of stalagmite-inferred Indian monsoon precipitation over the past 252,000 y, Proc. Natl. Acad. Sci., 112(10), 2954–2959, 2015.",10.1073/pnas.1424035112
175,"Dong, J., Wang, Y., Cheng, H., Hardt, B., Edwards, R. L., Kong, X., Wu, J., Chen, S., Liu, D., Jiang, X. and Zhao, K.: A high-resolution stalagmite record of the Holocene East Asian monsoon from Mt Shennongjia, central China, The Holocene, 20(2), 257–264, 2010.",10.1177/0959683609350393
176,"Cheng, H., Edwards, R. L., Sinha, A., Spötl, C., Yi, L., Chen, S., Kelly, M., Kathayat, G., Wang, X., Li, X., Kong, X., Wang, Y., Ning, Y. and Zhang, H.: The Asian monsoon over the past 640, 000 years and ice age terminations, Nature, 534(7609), 640–646, 2016.",10.1038/nature18591
181,"Bernal, J. P., Cruz, F. W., Stríkis, N. M., Wang, X., Deininger, M., Catunda, M. C. A., Ortega-Obregón, C., Cheng, H., Edwards, R. L. and Auler, A. S.: High-resolution Holocene South American monsoon history recorded by a speleothem from Botuverá Cave, Brazil, Earth Planet. Sci. Lett., 450, 186–196, 2016.",10.1016/j.epsl.2016.06.008
182,"Cruz, F. W., Burns, S. J., Karmann, I., Sharp, W. D., Vuille, M., Cardoso, A. O., Ferrari, J. A., Dias, P. L. S. and Viana, O.: Insolation-driven changes in atmospheric circulation over the past 116,000 years in subtropical Brazil, Nature, 434(7029), 63–66, 2005.",10.1038/nature03365
183,"Drysdale, R. N., Zanchetta, G., Hellstrom, J. C., Fallick, A. E., Zhao, J., Isola, I. and Bruschi, G.: Palaeoclimatic implications of the growth history and stable isotope (δ18O and δ13C) geochemistry of a Middle to Late Pleistocene stalagmite from central-western Italy, Earth Planet. Sci. Lett., 227(3–4), 215–229, 2004.",10.1016/j.epsl.2004.09.010
184,"Drysdale, R. N., Zanchetta, G., Hellstrom, J. C., Fallick, A. E. and Zhao, J.: Stalagmite evidence for the onset of the Last Interglacial in southern Europe at 129 ± 1 ka, Geophys. Res. Lett., 32(24), L24708, 2005.",10.1029/2005gl024658
185,"Drysdale, R. N., Zanchetta, G., Hellstrom, J. C., Fallick, A. E., McDonald, J. and Cartwright, I.: Stalagmite evidence for the precise timing of North Atlantic cold events during the early last glacial, Geology, 35(1), 77, 2007.",10.1130/g23161a.1
186,"Drysdale, R. N., Hellstrom, J. C., Zanchetta, G., Fallick, A. E., Sanchez Goni, M. F., Couchoud, I., McDonald, J., Maas, R., Lohmann, G. and Isola, I.: Evidence for Obliquity Forcing of Glacial Termination II, Science (80-. )., 325(5947), 1527–1531, 2009.",10.1126/science.1170371
269,"Cheng, H., Fleitmann, D., Edwards, R. L., Wang, X., Cruz, F. W., Auler, A. S., Mangini, A., Wang, Y., Kong, X., Burns, S. J. and Matter, A.: Timing and structure of the 8.2 kyr B.P. event inferred from δ18O records of stalagmites from China, Oman, and Brazil, Geology, 37(11), 1007–1010, 2009.",10.1130/G30126A.1
276,"Columbu, A., Sauro, F., Lundberg, J., Drysdale, R. and De Waele, J.: Palaeoenvironmental changes recorded by speleothems of the southern Alps (Piani Eterni, Belluno, Italy) during four interglacial to glacial climate transitions, Quat. Sci. Rev., 197, 319–335, 2018.",10.1016/j.quascirev.2018.08.006
279,"Novello, V. F., Cruz, F. W., Moquet, J. S., Vuille, M., de Paula, M. S., Nunes, D., Edwards, R. L., Cheng, H., Karmann, I., Utida, G., Stríkis, N. M. and Campos, J. L. P. S.: Two Millennia of South Atlantic Convergence Zone Variability Reconstructed From Isotopic Proxies, Geophys. Res. Lett., 45(10), 5045–5051, 2018.",10.1029/2017GL076838
289,"Wang, Y., Cheng, H., Edwards, R. L., He, Y., Kong, X., An, Z., Wu, J., Kelly, M. J., Dykoski, C. A. and Li, X.: The Holocene Asian monsoon: links to solar changes and North Atlantic climate., Science, 308(5723), 854–7, 2005.",10.1126/science.1106296
