sample_id,sr_ca_measurement,sr_ca_precision
414966,0.63215,
414967,0.46825,
414968,0.46673,
414969,0.50752,
414970,0.49581,
414971,0.55505,
414972,0.44284,
414973,0.48522,
414974,0.58668,
414975,0.52439,
414976,0.4858,
414977,0.50699,
414978,0.4157,
414979,0.56154,
414980,0.49723,
414981,0.54328,
414982,0.76423,
414983,0.57518,
414984,0.7788,
414985,0.59449,
414986,0.60688,
414987,0.56494,
414988,0.73855,
414989,0.67725,
414990,0.7411,
414991,0.69994,
414992,0.77425,
414993,0.6479,
414994,0.74786,
414995,0.634,
414996,0.73375,
414997,0.80393,
414998,0.64821,
414999,0.67466,
415000,0.76917,
415001,0.61334,
415002,0.67345,
415003,0.72406,
415004,0.69973,
415005,0.68739,
415006,0.6575,
415007,0.69964,
415008,0.70626,
415009,0.68463,
415010,0.76135,
415011,0.59075,
415012,0.74505,
415013,0.60828,
415014,0.69439,
415015,0.55858,
415016,0.62743,
415017,0.64018,
415018,0.64326,
415019,0.6509,
415020,0.72926,
415021,0.63547,
415022,0.53098,
415023,0.48563,
415024,0.63952,
415025,0.65697,
415026,0.75147,
415027,0.7307,
415028,0.68669,
415029,0.77576,
415030,0.83783,
415031,0.68458,
415032,0.76099,
415033,0.71264,
415034,0.70004,
415035,0.66478,
415036,0.793,
415037,0.87484,
415038,0.85823,
415039,0.84751,
415040,0.92425,
415041,1.05319,
415042,0.69495,
415043,0.78621,
415044,0.70695,
415045,0.82812,
415046,0.77897,
415047,0.79638,
415048,0.65851,
415049,0.74066,
415050,0.65779,
415051,0.77704,
415052,0.81115,
415053,0.65406,
415054,0.57271,
415055,0.67563,
415056,0.80964,
415057,0.72998,
415058,0.8732,
415059,0.83325,
415060,0.76737,
415061,0.82942,
415062,0.84743,
415063,0.84305,
415064,0.71199,
415065,1.02938,
415066,0.86049,
415067,0.81571,
415068,0.84565,
415069,0.79641,
415070,0.72062,
415071,0.64829,
415072,0.76882,
415073,0.8037,
415074,0.81351,
415075,0.74843,
415076,0.79427,
415077,0.76506,
415078,0.73563,
415079,0.66352,
415080,0.81032,
415081,0.64768,
415082,0.72331,
415083,0.41639,
415084,0.80358,
415085,0.68885,
415086,0.61981,
415087,0.6574,
415088,0.53925,
415089,0.67734,
415090,0.39026,
415091,0.47973,
415092,0.71123,
415093,0.43245,
415094,0.46153,
415095,0.46985,
415096,0.55438,
415097,0.45475,
415098,0.45096,
415099,0.53887,
415100,0.48113,
415101,0.41826,
415102,0.46915,
415103,0.57022,
415104,0.55955,
415105,0.46518,
415106,0.40645,
415107,0.36688,
415108,0.47946,
415109,0.48503,
415110,0.52624,
415111,0.39231,
415112,0.49246,
415113,0.42593,
415114,0.50956,
415115,0.48786,
415116,0.49409,
415117,0.6543,
415118,0.47459,
415119,0.54716,
415120,0.49554,
415121,0.61911,
415122,0.5966,
415123,0.57651,
415124,0.64615,
415125,0.67419,
415126,0.57394,
415127,0.6176,
415128,0.7544,
415129,0.56567,
415130,0.64712,
415131,0.68775,
415132,0.46219,
415133,0.4922,
415134,0.57085,
415135,0.55273,
415136,0.5087,
415137,0.5485,
415138,0.42465,
415139,0.41846,
415140,0.61083,
415141,0.44588,
415142,0.42204,
415143,0.6654,
415144,0.66863,
415145,0.66695,
415146,0.82737,
415147,0.59255,
415148,0.65714,
415149,0.71539,
415150,0.73271,
415151,0.71461,
415152,0.70207,
415153,0.66657,
415154,0.69163,
415155,0.74392,
415156,0.58387,
415157,0.69862,
415158,0.77413,
415159,0.65106,
415160,0.55729,
415161,0.58789,
415162,0.59042,
415163,0.60254,
415164,0.63281,
415165,0.67929,
415166,0.66699,
415167,0.73112,
415168,0.61143,
415169,0.45281,
415170,0.65903,
415171,0.51105,
415172,0.51172,
415173,0.50936,
415174,0.55112,
