/* DATA DESCRIPTION:
Citation:	Bouchet, Marie; Grisart, Antoine; Landais, Amaëlle; Prié, Frédéric; Jacob, Roxanne; Fourré, Elise (2023): δ18O of O2 from EPICA Dome C ice core (Antarctica) (0-800 ka) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.961024, 
	In: Bouchet, M et al. (2023): δO2/N2 and δ18O of O2 from EPICA Dome C ice core (Antarctica) (0-800 ka) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.961023
Keyword(s):	Antarctica; Elemental ratios; EPICA Dome C ice core; Gas; Ice core; Isotope ratio; Termination
Related to:	Bazin, Lucie; Landais, Amaëlle; Capron, Emilie; Masson-Delmotte, Valerie; Ritz, Catherine; Picard, Ghislain; Jouzel, Jean; Dumont, Marie; Leuenberger, Markus Christian; Prié, F (2016): Phase relationships between orbital forcing and the composition of air trapped in Antarctic ice cores. Climate of the Past, 12(3), 729-748, https://doi.org/10.5194/cp-12-729-2016
	Dreyfus, Gabrielle; Parrenin, Frédéric; Lemieux-Dudon, Bénédicte; Durand, Gael; Masson-Delmotte, Valerie; Jouzel, Jean; Barnola, Jean-Marc; Panno, L; Spahni, Renato; Tisserand, Amandine; Siegenthaler, Urs; Leuenberger, Markus Christian (2007): Anomalous flow below 2700 m in the EPICA Dome C ice core detected using d18O of atmospheric oxygen measurements. Climate of the Past, 3(2), 341-353, https://doi.org/10.5194/cp-3-341-2007
	Dreyfus, Gabrielle; Raisbeck, Grant M; Parrenin, Frédéric; Jouzel, Jean; Guyodo, Yohan; Nomade, Jérome; Mazaud, Alain (2008): An ice core perspective on the age of the Matuyama-Brunhes boundary. Earth and Planetary Science Letters, 274(1-2), 151-156, https://doi.org/10.1016/j.epsl.2008.07.008
	Extier, Thomas; Landais, Amaëlle; Bréant, Camille; Prié, F; Bazin, Lucie; Dreyfus, Gabrielle; Roche, Didier M; Leuenberger, Markus Christian (2018): On the use of d18O atm for ice core dating. Quaternary Science Reviews, 185, 244-257, https://doi.org/10.1016/j.quascirev.2018.02.008
	Landais, Amaëlle; Dreyfus, Gabrielle; Capron, Emilie; Pol, Katy; Loutre, Marie-France; Raynaud, Dominique; Lipenkov, Vladimir Ya; Arnaud, Laurent; Masson-Delmotte, Valerie; Paillard, Didier; Jouzel, Jean; Leuenberger, Markus Christian (2012): Towards orbital dating of the EPICA Dome C ice core using dO2/N2. Climate of the Past, 8(1), 191-203, https://doi.org/10.5194/cp-8-191-2012
Funding:	European Research Council (ERC), grant/award no. 817493: ICORDA - Ice CORe DAting tools revisited to infer the dynamic of glacial – interglacial transitions over the last 1.5 million years (URI: https://doi.org/10.3030/817493)
Coverage:	LATITUDE: -75.102000 * LONGITUDE: 123.395000
	MINIMUM DEPTH, ice/snow: 1410.770 m * MAXIMUM DEPTH, ice/snow: 3191.140 m
Event(s):	DomeC * LATITUDE: -75.102000 * LONGITUDE: 123.395000 * ELEVATION: 3233.0 m * METHOD/DEVICE: Drilling/drill rig (DRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr)
	Gas age [ka BP] (Gas age) * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr) * METHOD/DEVICE: Antarctic ice core chronology (AICC2023) (URI: https://doi.org/10.5194/cp-19-2257-2023)
	δ18O, gas [‰] (δ18O-O2) * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS), Thermo Scientific, Delta 219 V * COMMENT: of O2
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	2756 data points
*/
Depth ice/snow [m]	Gas age [ka BP]	δ18O-O2 [‰]
1410.770	101.7452	-0.0101
1413.520	102.0217	-0.1229
1416.270	102.2834	0.0024
1419.020	102.5235	-0.0148
1421.770	102.7362	-0.1060
1424.520	102.9648	0.0210
1427.270	103.2464	0.0979
1432.770	103.8310	0.0315
1435.520	104.1016	-0.0228
1438.270	104.4169	-0.1482
1441.020	104.7912	-0.1310
1443.770	105.2162	-0.1263
1446.520	105.5661	0.0277
1449.270	105.8583	-0.0624
1452.020	106.1493	-0.0084
1454.770	106.4527	0.0920
1460.270	107.0962	0.0772
1463.020	107.4556	0.3599
1465.770	107.8043	0.3925
1471.270	108.2452	0.5473
1474.020	108.4085	0.5251
1476.770	108.6518	0.6228
1479.520	108.9926	0.5232
1482.270	109.3713	0.5250
1489.950	110.4896	0.5715
1490.520	110.5611	0.5230
1492.700	110.8314	0.5751
1493.270	110.9088	0.5265
1494.900	111.1078	0.5896
1496.020	111.2474	0.5814
1497.100	111.3876	0.6332
1498.770	111.5893	0.6297
1499.850	111.7282	0.6376
1501.520	111.9279	0.5898
1502.050	111.9912	0.6585
1504.270	112.2674	0.5678
1504.800	112.3360	0.6741
1507.020	112.6339	0.6423
1507.550	112.6988	0.6892
1509.770	112.9750	0.6834
1510.300	113.0356	0.7469
1515.270	113.5320	0.6949
1515.800	113.5866	0.6786
1518.020	113.8335	0.6544
1519.100	113.9536	0.6961
1520.770	114.1355	0.6513
1521.850	114.2599	0.6724
1523.520	114.4736	0.6118
1524.600	114.6145	0.6552
1526.270	114.8186	0.6035
1527.900	115.0184	0.6205
1529.020	115.1482	0.6334
1531.200	115.3823	0.6732
1531.770	115.4390	0.5989
1534.500	115.6815	0.6383
1537.270	115.9306	0.6083
1537.800	115.9803	0.6027
1542.770	116.4893	0.5226
1544.950	116.6944	0.5534
1545.520	116.7446	0.5624
1548.250	116.9831	0.5610
1548.270	116.9848	0.5188
1551.020	117.2210	0.5457
1552.100	117.3139	0.4773
1553.770	117.4704	0.4429
1556.520	117.7452	0.5208
1559.250	118.0121	0.4451
1559.270	118.0142	0.3972
1562.020	118.2829	0.3855
1564.770	118.4836	0.3459
1566.400	118.5928	0.4087
1570.250	118.8627	0.4105
1573.020	119.1175	0.2941
1573.550	119.1699	0.2963
1577.400	119.5500	0.2907
1578.520	119.6666	0.2121
1581.250	119.9220	0.2935
1581.270	119.9236	0.2237
1584.020	120.1342	0.1800
1585.650	120.2455	0.0976
1586.770	120.3185	0.1131
1588.950	120.4577	0.0664
1589.520	120.4950	0.0422
1592.270	120.6742	-0.0209
1595.180	120.8638	-0.0690
1596.650	120.9670	-0.0636
1597.770	121.0495	-0.1152
1600.500	121.2864	-0.0358
1600.520	121.2881	-0.0458
1603.270	121.5201	-0.1688
1604.350	121.6055	-0.1076
1606.020	121.7281	-0.1769
1608.200	121.8689	-0.0580
1608.770	121.9026	-0.2473
1611.520	122.0615	-0.2380
1612.050	122.0932	-0.1867
1614.270	122.2333	-0.2598
1617.020	122.4305	-0.2603
1619.750	122.6184	-0.1686
1619.770	122.6196	-0.2351
1622.680	122.8003	-0.2960
1623.600	122.8580	-0.2166
1625.270	122.9618	-0.3200
1628.000	123.1488	-0.2903
1628.020	123.1502	-0.3105
1630.770	123.3393	-0.3796
1631.850	123.4157	-0.3099
1633.520	123.5496	-0.3446
1635.700	123.7370	-0.2576
1636.270	123.7872	-0.3942
1639.020	124.0220	-0.2893
1639.550	124.0662	-0.2326
1641.770	124.2261	-0.3740
1644.520	124.3952	-0.3476
1647.250	124.5633	-0.3809
1647.270	124.5646	-0.3490
1650.210	124.7569	-0.3985
1651.100	124.8134	-0.4581
1652.770	124.9277	-0.3849
1654.950	125.0659	-0.3563
1655.520	125.0980	-0.3738
1658.250	125.2656	-0.2672
1658.270	125.2669	-0.3635
1661.020	125.4584	-0.3041
1662.650	125.5771	-0.2790
1663.770	125.6583	-0.3524
1667.050	125.8773	-0.2475
1669.270	126.0228	-0.3532
1670.900	126.1404	-0.1021
1672.020	126.2255	-0.2720
1674.770	126.4636	-0.2091
