/* DATA DESCRIPTION:
Citation:	Augustin, Laurent; Barbante, Carlo; Barnes, Piers R F; Barnola, Jean-Marc; Bigler, Matthias; Castellano, Emiliano; Cattani, Olivier; Chappellaz, Jérôme A; Dahl-Jensen, Dorthe; Delmonte, Barbara; Dreyfus, Gabrielle; Durand, Gael; Falourd, Sonia; Fischer, Hubertus; Flückiger, Jacqueline; Hansson, Margareta E; Huybrechts, Philippe; Jugie, Gérard; Johnsen, Sigfús Jóhann; Jouzel, Jean; Kaufmann, Patrik R; Kipfstuhl, Sepp; Lambert, Fabrice; Lipenkov, Vladimir Ya; Littot, Geneviève C; Longinelli, Antonio; Lorrain, Reginald D; Maggi, Valter; Masson-Delmotte, Valerie; Miller, Heinrich; Mulvaney, Robert; Oerlemans, Johannes; Oerter, Hans; Orombelli, Giuseppe; Parrenin, Frédéric; Peel, David A; Petit, Jean Robert; Raynaud, Dominique; Ritz, Catherine; Ruth, Urs; Schwander, Jakob; Siegenthaler, Urs; Souchez, Roland A; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tabacco, Ignazio; Udisti, Roberto; van de Wal, Roderik S W; van den Broeke, Michiel R; Wilhelms, Frank; Winther, Jan-Gunnar; Wolff, Eric William; Zucchelli, Mario (2004): Deuterium data from EPICA Dome C ice core EDC, 6.6-3140.5 metres [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.198743, 
	In supplement to: Augustin, L et al. (2004): Eight glacial cycles from an Antarctic ice core. Nature, 429(6992), 623-628, https://doi.org/10.1038/nature02599
Further details:	Documentation of EPICA Dome C. hdl:10013/epic.32364.d001
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 8.525 m * MAXIMUM DEPTH, ice/snow: 3138.570 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * RECOVERY: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome_C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	Ages are also given, showing the age-depth relationship used.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Depth, top/min [m] (Depth top) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr)
	Depth, bottom/max [m] (Depth bot) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr)
	Age, minimum/young [ka] (Age min) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: Age (years before 1950 on EDC2 timescale) at top of averaging interval
	Age, maximum/old [ka] (Age max) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr) * METHOD/DEVICE: Age model, ice flow model * COMMENT: Age (years before 1950 on EDC2 timescale) at bottom of averaging interval
	δ Deuterium [‰ SMOW] (δD) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	4070 data points
*/
Depth ice/snow [m]	Age [ka BP]	Depth top [m]	Depth bot [m]	Age min [ka]	Age max [ka]	δD [‰ SMOW]
8.525	0.070000	6.60	10.45	0.03800	0.10200	-391.20
12.375	0.138500	10.45	14.30	0.10200	0.17500	-396.49
16.225	0.215500	14.30	18.15	0.17500	0.25600	-398.19
20.075	0.294500	18.15	22.00	0.25600	0.33300	-398.11
23.925	0.374775	22.00	25.85	0.33300	0.41655	-400.07
27.775	0.460325	25.85	29.70	0.41655	0.50410	-398.49
31.625	0.549875	29.70	33.55	0.50410	0.59565	-397.83
35.475	0.639625	33.55	37.40	0.59565	0.68360	-394.86
39.325	0.730425	37.40	41.25	0.68360	0.77725	-400.54
43.175	0.821825	41.25	45.10	0.77725	0.86640	-392.33
47.025	0.915575	45.10	48.95	0.86640	0.96475	-398.81
50.875	1.014770	48.95	52.80	0.96475	1.06480	-396.96
54.725	1.114170	52.80	56.65	1.06480	1.16355	-396.37
58.575	1.212530	56.65	60.50	1.16355	1.26150	-393.51
62.425	1.310120	60.50	64.35	1.26150	1.35875	-394.30
66.275	1.410570	64.35	68.20	1.35875	1.46240	-395.44
70.125	1.516870	68.20	72.05	1.46240	1.57135	-396.86
73.975	1.625280	72.05	75.90	1.57135	1.67920	-397.49
77.825	1.736350	75.90	79.75	1.67920	1.79350	-397.54
81.675	1.852450	79.75	83.60	1.79350	1.91140	-396.51
85.525	1.971900	83.60	87.45	1.91140	2.03240	-397.89
89.375	2.092650	87.45	91.30	2.03240	2.15290	-396.96
93.225	2.215350	91.30	95.15	2.15290	2.27780	-396.97
97.075	2.343400	95.15	99.00	2.27780	2.40900	-402.41
100.925	2.474600	99.00	102.85	2.40900	2.54020	-397.01
104.775	2.604150	102.85	106.70	2.54020	2.66810	-395.10
108.625	2.729300	106.70	110.55	2.66810	2.79050	-393.74
112.475	2.848850	110.55	114.40	2.79050	2.90720	-393.96
116.325	2.970230	114.40	118.25	2.90720	3.03325	-396.33
120.175	3.094370	118.25	122.10	3.03325	3.15550	-395.95
124.025	3.221420	122.10	125.95	3.15550	3.28735	-399.50
127.875	3.351970	125.95	129.80	3.28735	3.41660	-397.56
131.725	3.478520	129.80	133.65	3.41660	3.54045	-394.81
135.575	3.601220	133.65	137.50	3.54045	3.66200	-393.87
139.425	3.723130	137.50	141.35	3.66200	3.78425	-393.87
143.275	3.850120	141.35	145.20	3.78425	3.91600	-396.24
147.125	3.982850	145.20	149.05	3.91600	4.04970	-394.44
150.975	4.117600	149.05	152.90	4.04970	4.18550	-395.27
154.825	4.251000	152.90	156.75	4.18550	4.31650	-395.20
158.675	4.381550	156.75	160.60	4.31650	4.44660	-395.00
162.525	4.515400	160.60	164.45	4.44660	4.58420	-396.20
166.375	4.653500	164.45	168.30	4.58420	4.72280	-396.91
170.225	4.789950	168.30	172.15	4.72280	4.85710	-395.27
174.075	4.926050	172.15	176.00	4.85710	4.99500	-396.07
177.925	5.061450	176.00	179.85	4.99500	5.12790	-394.10
181.775	5.198050	179.85	183.70	5.12790	5.26820	-395.53
185.625	5.338820	183.70	187.55	5.26820	5.40945	-399.23
189.475	5.478930	187.55	191.40	5.40945	5.54840	-396.94
193.325	5.616450	191.40	195.25	5.54840	5.68450	-395.29
197.175	5.752600	195.25	199.10	5.68450	5.82070	-393.10
201.025	5.892450	199.10	202.95	5.82070	5.96420	-397.51
204.875	6.033100	202.95	206.80	5.96420	6.10200	-396.41
208.725	6.172530	206.80	210.65	6.10200	6.24305	-397.56
212.575	6.315530	210.65	214.50	6.24305	6.38800	-397.54
216.425	6.459320	214.50	218.35	6.38800	6.53065	-400.19
220.275	6.605220	218.35	222.20	6.53065	6.67980	-398.03
224.125	6.752300	222.20	226.05	6.67980	6.82480	-396.24
227.975	6.897050	226.05	229.90	6.82480	6.96930	-398.96
231.825	7.046400	229.90	233.75	6.96930	7.12350	-402.01
235.675	7.199350	233.75	237.60	7.12350	7.27520	-398.90
239.525	7.352600	237.60	241.45	7.27520	7.43000	-402.39
243.375	7.500700	241.45	245.30	7.43000	7.57140	-395.30
247.225	7.644900	245.30	249.15	7.57140	7.71840	-397.46
251.075	7.792200	249.15	253.00	7.71840	7.86600	-398.07
254.925	7.940080	253.00	256.85	7.86600	8.01415	-400.49
258.775	8.092120	256.85	260.70	8.01415	8.17010	-404.27
262.625	8.247780	260.70	264.55	8.17010	8.32545	-400.67
266.475	8.401730	264.55	268.40	8.32545	8.47800	-401.09
