/* DATA DESCRIPTION:
Citation:	Bouchet, Marie; Grisart, Antoine; Landais, Amaëlle; Prié, Frédéric; Jacob, Roxanne; Fourré, Elise (2023): δO2/N2 from EPICA Dome C ice core (Antarctica) (0-800 ka) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.961025, 
	In: Bouchet, M et al. (2023): δO2/N2 and δ18O of O2 from EPICA Dome C ice core (Antarctica) (0-800 ka) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.961023
Keyword(s):	Antarctica; Elemental ratios; EPICA Dome C ice core; Gas; Ice core; Isotope ratio; Termination
Related to:	Bazin, Lucie; Landais, Amaëlle; Capron, Emilie; Masson-Delmotte, Valerie; Ritz, Catherine; Picard, Ghislain; Jouzel, Jean; Dumont, Marie; Leuenberger, Markus Christian; Prié, F (2016): Phase relationships between orbital forcing and the composition of air trapped in Antarctic ice cores. Climate of the Past, 12(3), 729-748, https://doi.org/10.5194/cp-12-729-2016
	Dreyfus, Gabrielle; Parrenin, Frédéric; Lemieux-Dudon, Bénédicte; Durand, Gael; Masson-Delmotte, Valerie; Jouzel, Jean; Barnola, Jean-Marc; Panno, L; Spahni, Renato; Tisserand, Amandine; Siegenthaler, Urs; Leuenberger, Markus Christian (2007): Anomalous flow below 2700 m in the EPICA Dome C ice core detected using d18O of atmospheric oxygen measurements. Climate of the Past, 3(2), 341-353, https://doi.org/10.5194/cp-3-341-2007
	Dreyfus, Gabrielle; Raisbeck, Grant M; Parrenin, Frédéric; Jouzel, Jean; Guyodo, Yohan; Nomade, Jérome; Mazaud, Alain (2008): An ice core perspective on the age of the Matuyama-Brunhes boundary. Earth and Planetary Science Letters, 274(1-2), 151-156, https://doi.org/10.1016/j.epsl.2008.07.008
	Extier, Thomas; Landais, Amaëlle; Bréant, Camille; Prié, F; Bazin, Lucie; Dreyfus, Gabrielle; Roche, Didier M; Leuenberger, Markus Christian (2018): On the use of d18O atm for ice core dating. Quaternary Science Reviews, 185, 244-257, https://doi.org/10.1016/j.quascirev.2018.02.008
	Landais, Amaëlle; Dreyfus, Gabrielle; Capron, Emilie; Pol, Katy; Loutre, Marie-France; Raynaud, Dominique; Lipenkov, Vladimir Ya; Arnaud, Laurent; Masson-Delmotte, Valerie; Paillard, Didier; Jouzel, Jean; Leuenberger, Markus Christian (2012): Towards orbital dating of the EPICA Dome C ice core using dO2/N2. Climate of the Past, 8(1), 191-203, https://doi.org/10.5194/cp-8-191-2012
Funding:	European Research Council (ERC), grant/award no. 817493: ICORDA - Ice CORe DAting tools revisited to infer the dynamic of glacial – interglacial transitions over the last 1.5 million years (URI: https://doi.org/10.3030/817493)
Coverage:	LATITUDE: -75.102000 * LONGITUDE: 123.395000
	MINIMUM DEPTH, ice/snow: 1420.60 m * MAXIMUM DEPTH, ice/snow: 3188.92 m
Event(s):	DomeC * LATITUDE: -75.102000 * LONGITUDE: 123.395000 * ELEVATION: 3233.0 m * METHOD/DEVICE: Drilling/drill rig (DRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr)
	Ice age [ka BP] (Ice age) * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr) * METHOD/DEVICE: Antarctic ice core chronology (AICC2023) (URI: https://doi.org/10.5194/cp-19-2257-2023)
	δ Oxygen/Nitrogen ratio [‰] (δ(O2/N2)) * PI: Bouchet, Marie (https://orcid.org/0009-0002-0760-1776, marie.bouchet@lsce.ipsl.fr) * METHOD/DEVICE: Isotope Ratio Mass Spectrometer (IRMS), Thermo Scientific, Delta 219 V
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	1645 data points
*/
Depth ice/snow [m]	Ice age [ka BP]	δ(O2/N2) [‰]
1420.60	105.9263	-7.7170
1457.45	109.8216	-13.6635
1473.72	111.8730	-12.6425
1489.95	113.8477	-13.1636
1490.75	113.9434	-10.5015
1492.70	114.1722	-14.3612
1494.90	114.4387	-13.1431
1497.10	114.6981	-13.3007
1499.85	115.0177	-14.4980
1502.05	115.2688	-12.0529
1504.80	115.5592	-12.4520
1507.55	115.8436	-14.6341
1510.30	116.1293	-11.5105
1510.40	116.1396	-14.7310
1515.80	116.6630	-12.1073
1519.10	116.9789	-12.9862
1521.85	117.2432	-14.7705
1524.60	117.5033	-13.5308
1527.90	117.8163	-12.0844
1529.06	117.9188	-10.4970
1531.20	118.1120	-11.7342
1534.50	118.4008	-12.6483
1537.80	118.6805	-13.5913
1544.95	119.2572	-12.0490
1552.10	119.8122	-12.3529
1554.00	119.9598	-12.8340
1559.26	120.3557	-11.5419
1566.39	120.8835	-10.2174
1570.25	121.1574	-11.7794
1573.55	121.3970	-10.8057
1577.40	121.6668	-11.3221
1581.24	121.9420	-12.7088
1585.65	122.2428	-9.4538
1587.86	122.3954	-10.9411
1588.94	122.4709	-9.0181
1596.65	122.9918	-9.2985
1600.51	123.2687	-9.0780
1604.35	123.5270	-9.1169
1608.20	123.7854	-8.3743
1610.53	123.9383	-7.2245
1612.06	124.0398	-12.7768
1619.75	124.5613	-9.0365
1623.60	124.8094	-9.9664
1623.60	124.8094	-10.0844
1628.00	125.0940	-8.0551
1631.84	125.3338	-9.8731
1635.70	125.6042	-9.2225
1639.55	125.8667	-10.8126
1639.73	125.8788	-9.3030
1647.25	126.4019	-8.6103
1651.10	126.6814	-10.5278
1654.95	126.9589	-9.5499
1658.26	127.2063	-9.5562
1662.66	127.5127	-8.4248
1667.05	127.7960	-9.6375
1670.17	128.0064	-10.0420
1670.90	128.0577	-10.1436
1675.29	128.3451	-7.6878
1679.71	128.6181	-6.4580
1684.11	128.8864	-11.3911
1688.49	129.1365	-8.2649
1697.30	129.6569	-9.9765
1702.26	129.9577	-9.6917
1706.65	130.2258	-11.0463
1708.37	130.3373	-10.6660
1710.50	130.4714	-11.3869
1714.90	130.7573	-11.8900
1722.60	131.2923	-10.7951
1726.45	131.5888	-11.5062
1730.30	131.8926	-10.8881
1733.60	132.1692	-11.7116
1736.35	132.4167	-9.9537
1738.86	132.6581	-8.9630
1742.40	132.9936	-11.8753
1745.15	133.2735	-13.8545
1747.90	133.5724	-11.4521
1750.65	133.8764	-12.9275
1753.95	134.2468	-14.7048
1755.60	134.4389	-12.9031
1758.05	134.7427	-10.6505
1758.35	134.7806	-12.8607
1761.65	135.2135	-13.4230
1764.95	135.7002	-16.3554
1766.60	135.9636	-12.7284
1768.80	136.2963	-14.9350
1770.45	136.5625	-14.2252
1772.10	136.8494	-12.8422
1772.38	136.8945	-13.0660
1773.75	137.1249	-15.8602
1775.40	137.4040	-15.2154
1777.05	137.6783	-14.0161
1782.00	138.5353	-14.4209
1784.51	138.9983	-11.7585
1784.75	139.0460	-15.3833
1786.40	139.3654	-14.1965
1788.60	139.7833	-14.1875
1789.15	139.8926	-15.9307
1791.90	140.4287	-13.1814
1800.20	142.0741	-8.4495
1811.99	144.4276	-8.8275
1823.79	146.7955	-8.4205
1832.60	148.5118	-10.9266
1836.01	149.1717	-6.9400
1848.13	151.4499	-9.3990
1860.27	153.7727	-9.8815
1871.32	156.1025	-10.1440
1881.27	158.2872	-10.1035
1893.35	160.5233	-11.5680
1903.83	162.5690	-13.5124
1914.45	164.5814	-12.1049
1923.58	166.5505	-12.7085
1944.93	170.8416	-9.9376
1955.67	173.1501	-8.4263
1965.61	175.5107	-6.4209
1974.86	177.7924	-7.4351
1978.35	178.5533	-8.5207
1984.28	179.7871	-10.4503
1993.43	181.9967	-10.6817
1995.95	182.6481	-11.4396
2008.99	186.0251	-10.8720
2016.92	188.0053	-9.9914
2026.56	189.9136	-8.9778
2026.75	189.9453	-11.9168
2030.05	190.5880	-11.4100
2031.15	190.8153	-12.1185
2032.80	191.1375	-11.2291
