stage,property,value,source,status,assignment
1,PeriodBeginning,14.5,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_1_begin
2,PeriodBeginning,35.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_2_begin
2,PeriodEnd,14.5,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_2_end
3a,PeriodBeginning,39.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_3a_begin
3a,PeriodEnd,35.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_3a_end
3b,PeriodBeginning,44.3,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_3b_begin
3b,PeriodEnd,39.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_3b_end
3,PeriodBeginning,57.3,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_3_begin
3,PeriodEnd,35.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_3_end
3c,PeriodBeginning,57.3,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_3c_begin
3c,PeriodEnd,44.3,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_3c_end
4,PeriodBeginning,72.7,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_4_begin
4,PeriodEnd,57.3,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_4_end
5a,PeriodBeginning,85.7,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5a_begin
5a,PeriodEnd,72.7,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5a_end
5b,PeriodBeginning,92.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5b_begin
5b,PeriodEnd,85.7,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5b_end
5c,PeriodBeginning,106.8,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5c_begin
5c,PeriodEnd,92.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5c_end
5d,PeriodBeginning,116.2,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5d_begin
5d,PeriodEnd,106.8,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5d_end
5,PeriodBeginning,132.2,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5_begin
5,PeriodEnd,72.7,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5_end
5e,PeriodBeginning,132.2,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5e_begin
5e,PeriodEnd,116.2,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_5e_end
6a,PeriodBeginning,141.3,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6a_begin
6a,PeriodEnd,132.2,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6a_end
6b,PeriodBeginning,156.1,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6b_begin
6b,PeriodEnd,141.3,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6b_end
6c,PeriodBeginning,165.9,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6c_begin
6c,PeriodEnd,156.1,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6c_end
6d,PeriodBeginning,176.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6d_begin
6d,PeriodEnd,165.9,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6d_end
6,PeriodBeginning,190.4,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6_begin
6,PeriodEnd,132.2,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6_end
6e,PeriodBeginning,190.4,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6e_begin
6e,PeriodEnd,176.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_6e_end
7a,PeriodBeginning,204.1,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7a_begin
7a,PeriodEnd,190.4,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7a_end
7b,PeriodBeginning,208.2,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7b_begin
7b,PeriodEnd,204.1,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7b_end
7c,PeriodBeginning,219.7,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7c_begin
7c,PeriodEnd,208.2,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7c_end
7d,PeriodBeginning,234.1,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7d_begin
7d,PeriodEnd,219.7,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7d_end
7,PeriodBeginning,244.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7_begin
7,PeriodEnd,190.4,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7_end
7e,PeriodBeginning,244.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7e_begin
7e,PeriodEnd,234.1,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_7e_end
8a,PeriodBeginning,254.2,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_8a_begin
8a,PeriodEnd,244.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_8a_end
8b,PeriodBeginning,269.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_8b_begin
8b,PeriodEnd,254.2,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_8b_end
8,PeriodBeginning,279.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_8_begin
8,PeriodEnd,244.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_8_end
8c,PeriodBeginning,279.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_8c_begin
8c,PeriodEnd,269.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_8c_end
9a,PeriodBeginning,291.1,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9a_begin
9a,PeriodEnd,279.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9a_end
9b,PeriodBeginning,307.8,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9b_begin
9b,PeriodEnd,291.1,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9b_end
9c,PeriodBeginning,317.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9c_begin
9c,PeriodEnd,307.8,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9c_end
9d,PeriodBeginning,318.4,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9d_begin
9d,PeriodEnd,317.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9d_end
9,PeriodBeginning,337.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9_begin
9,PeriodEnd,279.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9_end
9e,PeriodBeginning,337.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9e_begin
9e,PeriodEnd,318.4,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_9e_end
10a,PeriodBeginning,346.1,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_10a_begin
10a,PeriodEnd,337.0,Railsback2015,LeadingAssignment,assign_railsback2015_MIS_10a_end
