stage,label,kind,parent,begin_ka,end_ka,peak_ka,climate_mode,leading_source,derived
1,MIS 1,stage,,14.5,,,warm,Railsback2015,false
2,MIS 2,stage,,35.0,14.5,,cold,Railsback2015,false
3a,MIS 3a,substage,3,39.0,35.0,,,Railsback2015,false
3b,MIS 3b,substage,3,44.3,39.0,,,Railsback2015,false
3,MIS 3,stage,,57.3,35.0,,warm,Railsback2015,true
3c,MIS 3c,substage,3,57.3,44.3,,,Railsback2015,false
4,MIS 4,stage,,72.7,57.3,,cold,Railsback2015,false
5a,MIS 5a,substage,5,85.7,72.7,82.0,,Railsback2015,false
5b,MIS 5b,substage,5,92.0,85.7,87.0,,Railsback2015,false
5c,MIS 5c,substage,5,106.8,92.0,96.0,,Railsback2015,false
5d,MIS 5d,substage,5,116.2,106.8,109.0,,Railsback2015,false
5,MIS 5,stage,,132.2,72.7,,warm,Railsback2015,true
5e,MIS 5e,substage,5,132.2,116.2,123.0,,Railsback2015,false
6a,MIS 6a,substage,6,141.3,132.2,,,Railsback2015,false
6b,MIS 6b,substage,6,156.1,141.3,,,Railsback2015,false
6c,MIS 6c,substage,6,165.9,156.1,,,Railsback2015,false
6d,MIS 6d,substage,6,176.0,165.9,,,Railsback2015,false
6,MIS 6,stage,,190.4,132.2,,cold,Railsback2015,true
6e,MIS 6e,substage,6,190.4,176.0,,,Railsback2015,false
7a,MIS 7a,substage,7,204.1,190.4,,,Railsback2015,false
7b,MIS 7b,substage,7,208.2,204.1,,,Railsback2015,false
7c,MIS 7c,substage,7,219.7,208.2,,,Railsback2015,false
7d,MIS 7d,substage,7,234.1,219.7,,,Railsback2015,false
7,MIS 7,stage,,244.0,190.4,,warm,Railsback2015,true
7e,MIS 7e,substage,7,244.0,234.1,,,Railsback2015,false
8a,MIS 8a,substage,8,254.2,244.0,,,Railsback2015,false
8b,MIS 8b,substage,8,269.0,254.2,,,Railsback2015,false
8,MIS 8,stage,,279.0,244.0,,cold,Railsback2015,true
8c,MIS 8c,substage,8,279.0,269.0,,,Railsback2015,false
9a,MIS 9a,substage,9,291.1,279.0,,,Railsback2015,false
9b,MIS 9b,substage,9,307.8,291.1,,,Railsback2015,false
9c,MIS 9c,substage,9,317.0,307.8,,,Railsback2015,false
9d,MIS 9d,substage,9,318.4,317.0,,,Railsback2015,false
9,MIS 9,stage,,337.0,279.0,,warm,Railsback2015,true
9e,MIS 9e,substage,9,337.0,318.4,,,Railsback2015,false
10a,MIS 10a,substage,10,346.1,337.0,,,Railsback2015,false
10b,MIS 10b,substage,10,354.9,346.1,,,Railsback2015,false
10,MIS 10,stage,,365.4,337.0,,cold,Railsback2015,true
10c,MIS 10c,substage,10,365.4,354.9,,,Railsback2015,false
11a,MIS 11a,substage,11,389.9,365.4,,,Railsback2015,false
11b,MIS 11b,substage,11,396.0,389.9,,,Railsback2015,false
11c,MIS 11c,substage,11,417.1,396.0,,,Railsback2015,false
11d,MIS 11d,substage,11,420.0,417.1,,,Railsback2015,false
11,MIS 11,stage,,428.3,365.4,,warm,Railsback2015,true
11e,MIS 11e,substage,11,428.3,420.0,,,Railsback2015,false
12a,MIS 12a,substage,12,436.7,428.3,,,Railsback2015,false
12b,MIS 12b,substage,12,455.9,436.7,,,Railsback2015,false
12,MIS 12,stage,,476.9,428.3,,cold,Railsback2015,true
12c,MIS 12c,substage,12,476.9,455.9,,,Railsback2015,false
13a,MIS 13a,substage,13,505.6,476.9,,,Railsback2015,false
13b,MIS 13b,substage,13,516.3,505.6,,,Railsback2015,false
13,MIS 13,stage,,533.5,476.9,,warm,Railsback2015,true
13c,MIS 13c,substage,13,533.5,516.3,,,Railsback2015,false
14a,MIS 14a,substage,14,541.2,533.5,,,Railsback2015,false
14b,MIS 14b,substage,14,545.9,541.2,,,Railsback2015,false
14c,MIS 14c,substage,14,553.0,545.9,,,Railsback2015,false
14,MIS 14,stage,,563.9,533.5,,cold,Railsback2015,true
14d,MIS 14d,substage,14,563.9,553.0,,,Railsback2015,false
15a,MIS 15a,substage,15,580.7,563.9,,,Railsback2015,false
15b,MIS 15b,substage,15,589.2,580.7,,,Railsback2015,false
15c,MIS 15c,substage,15,597.9,589.2,,,Railsback2015,false
15d,MIS 15d,substage,15,602.7,597.9,,,Railsback2015,false
15,MIS 15,stage,,622.4,563.9,,warm,Railsback2015,true
15e,MIS 15e,substage,15,622.4,602.7,,,Railsback2015,false
16a,MIS 16a,substage,16,641.9,622.4,,,Railsback2015,false
16b,MIS 16b,substage,16,660.7,641.9,,,Railsback2015,false
16,MIS 16,stage,,676.9,622.4,,cold,Railsback2015,true
16c,MIS 16c,substage,16,676.9,660.7,,,Railsback2015,false
17a,MIS 17a,substage,17,685.1,676.9,,,Railsback2015,false
17b,MIS 17b,substage,17,688.1,685.1,,,Railsback2015,false
17c,MIS 17c,substage,17,705.2,688.1,,,Railsback2015,false
17d,MIS 17d,substage,17,709.0,705.2,,,Railsback2015,false
17,MIS 17,stage,,714.7,676.9,,warm,Railsback2015,true
17e,MIS 17e,substage,17,714.7,709.0,,,Railsback2015,false
18a,MIS 18a,substage,18,725.0,714.7,,,Railsback2015,false
18b,MIS 18b,substage,18,734.1,725.0,,,Railsback2015,false
18c,MIS 18c,substage,18,738.4,734.1,,,Railsback2015,false
18d,MIS 18d,substage,18,743.2,738.4,,,Railsback2015,false
18,MIS 18,stage,,757.2,714.7,,cold,Railsback2015,true
18e,MIS 18e,substage,18,757.2,743.2,,,Railsback2015,false
19a,MIS 19a,substage,19,763.2,757.2,,,Railsback2015,false
19b,MIS 19b,substage,19,769.1,763.2,,,Railsback2015,false
19,MIS 19,stage,,790.9,757.2,,warm,Railsback2015,true
19c,MIS 19c,substage,19,790.9,769.1,,,Railsback2015,false
20a,MIS 20a,substage,20,795.9,790.9,,,Railsback2015,false
20b,MIS 20b,substage,20,800.9,795.9,,,Railsback2015,false
20c,MIS 20c,substage,20,803.9,800.9,,,Railsback2015,false
20,MIS 20,stage,,812.3,790.9,,cold,Railsback2015,true
20d,MIS 20d,substage,20,812.3,803.9,,,Railsback2015,false
21a,MIS 21a,substage,21,824.8,812.3,,,Railsback2015,false
21b,MIS 21b,substage,21,834.0,824.8,,,Railsback2015,false
21c,MIS 21c,substage,21,837.2,834.0,,,Railsback2015,false
21d,MIS 21d,substage,21,842.9,837.2,,,Railsback2015,false
21e,MIS 21e,substage,21,851.0,842.9,,,Railsback2015,false
21f,MIS 21f,substage,21,855.1,851.0,,,Railsback2015,false
21,MIS 21,stage,,867.0,812.3,,warm,Railsback2015,true
21g,MIS 21g,substage,21,867.0,855.1,,,Railsback2015,false
22,MIS 22,stage,,881.2,867.0,,cold,Railsback2015,false
23a,MIS 23a,substage,23,893.1,881.2,,,Railsback2015,false
23b,MIS 23b,substage,23,899.0,893.1,,,Railsback2015,false
23,MIS 23,stage,,917.7,881.2,,warm,Railsback2015,true
23c,MIS 23c,substage,23,917.7,899.0,,,Railsback2015,false
24,MIS 24,stage,,928.0,917.7,,cold,Railsback2015,false
25a,MIS 25a,substage,25,938.5,928.0,,,Railsback2015,false
25b,MIS 25b,substage,25,941.3,938.5,,,Railsback2015,false
25c,MIS 25c,substage,25,944.8,941.3,,,Railsback2015,false
25d,MIS 25d,substage,25,947.2,944.8,,,Railsback2015,false
25,MIS 25,stage,,959.7,928.0,,warm,Railsback2015,true
25e,MIS 25e,substage,25,959.7,947.2,,,Railsback2015,false
26,MIS 26,stage,,970.6,959.7,,cold,Railsback2015,false
27,MIS 27,stage,,982.1,970.6,,warm,Railsback2015,false
28a,MIS 28a,substage,28,992.1,982.1,,,Railsback2015,false
28b,MIS 28b,substage,28,1001.2,992.1,,,Railsback2015,false
28,MIS 28,stage,,1013.1,982.1,,cold,Railsback2015,true
28c,MIS 28c,substage,28,1013.1,1001.2,,,Railsback2015,false
29,MIS 29,stage,,1031.0,1014.0,,warm,LR04,false
30,MIS 30,stage,,1062.0,1031.0,,cold,LR04,false
31,MIS 31,stage,,1081.0,1062.0,,warm,LR04,false
32,MIS 32,stage,,1104.0,1081.0,,cold,LR04,false
33,MIS 33,stage,,1114.0,1104.0,,warm,LR04,false
34,MIS 34,stage,,1141.0,1114.0,,cold,LR04,false
35,MIS 35,stage,,1190.0,1141.0,,warm,LR04,false
36,MIS 36,stage,,1215.0,1190.0,,cold,LR04,false
